SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200商人：|r梅羅什|n|cFFFFD200區域：|r費伍德森林|n|cFFFFD200陣營：|r木喉要塞 - 崇拜|n|cFFFFD200花費：|r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,125,66888,4,2
|cFFFFD200世界事件：|r兒童週|n|cFFFFD200商人：|r布雷克斯‧爆竹 / 奎苟‧擺頂|n|cFFFFD200區域：|r奧格瑪 / 暴風城|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,126,69895,0,2
|cFFFFD200促銷活動|r,127,72159,0,7
|cFFFFD200促銷活動|r,128,79769,0,7
|cFFFFD200掉落：|r『流亡者』載|n|cFFFFD200區域：|r崑萊峰,129,86581,0,0
|cFFFFD200掉落：|r『神諭者』尼索斯|n|cFFFFD200區域：|r崑萊峰,131,72224,2,0
|cFFFFD200掉落：|r『獨眼』魔朵|n|cFFFFD200區域：|r恆春谷,132,86586,0,0
|cFFFFD200掉落：|r『漫遊者』阿宏|n|cFFFFD200區域：|r崑萊峰,133,86588,0,0
|cFFFFD200掉落：|r艾利‧天鏡|n|cFFFFD200區域：|r悚然荒野,134,86589,0,0
|cFFFFD200掉落：|r『疾雲』艾崙|n|cFFFFD200區域：|r恆春谷,135,72229,2,0
|cFFFFD200掉落：|r博諾伯|n|cFFFFD200區域：|r四風峽,136,72227,2,0
|cFFFFD200掉落：|r靈巧的伊克伊克|n|cFFFFD200區域：|r悚然荒野,137,86593,0,0
|cFFFFD200成就：|r向最好的學習|n|cFFFFD200類別：|r釣魚,139,86596,0,5
|cFFFFD200成就：|r串酒坊|n|cFFFFD200類別：|r潘達利亞之謎,140,87528,0,5
|cFFFFD200商人：|r吉娜‧泥爪|n|cFFFFD200區域：|r四風峽|n|cFFFFD200陣營：|r耕者工會 - 崇拜|n|cFFFFD200花費：|r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,142,90175,4,2
|cFFFFD200世界事件：|r冬幕節,143,90883,0,6
|cFFFFD200世界事件：|r冬幕節,144,90888,0,6
|cFFFFD200商人：|r吉瓦斯‧葛萊蓋特|n|cFFFFD200區域：|r暗月島|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,145,90899,0,6
|cFFFFD200給予者：|r奧蘇爾|n|cFFFFD200區域：|r拉文霍德莊園,147,72220,2,0
|cFFFFD200掉落：|r拉沙|n|cFFFFD200區域：|r雷王島,148,72226,2,0
|cFFFFD200成就：|r托爾托斯隱藏噴泉成就|n|cFFFFD200類別：|r潘達利亞團隊,151,98132,0,5
|cFFFFD200掉落：|r巨蝸|n|cFFFFD200區域：|r雷霆王座,152,98136,0,0
|cFFFFD200商人：|r演講者固蘭|n|cFFFFD200區域：|r永恆之島,153,72230,2,2
|cFFFFD200商人：|r織霧者阿古|n|cFFFFD200區域：|r永恆之島|n|cFFFFD200陣營：|r紹昊大帝 - 崇敬,154,103685,4,2
|cFFFFD200掉落：|r腐蝕崖居者|n|cFFFFD200區域：|r永恆之島,155,104262,0,0
|cFFFFD200掉落：|r黑焰勇士|n|cFFFFD200區域：|r永恆之島,156,104302,0,0
|cFFFFD200掉落：|r永恆掌窯使|n|cFFFFD200區域：|r永恆之島,157,104309,0,0
|cFFFFD200世界事件：|r冬幕節,158,104318,0,6
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,159,104323,0,2
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,160,104324,0,2
|cFFFFD200掉落：|r歐朵斯高階祭司|n|cFFFFD200區域：|r永恆之島,161,72233,2,0
|cFFFFD200掉落：|r『歐朵勇士』賈庫爾|n|cFFFFD200區域：|r永恆之島,162,104331,0,0
|cFFFFD200世界事件：|r暗月馬戲團|n|cFFFFD200掉落：|r月牙|n|cFFFFD200區域：|r暗月島,164,105898,0,6
|cFFFFD200掉落：|r『毀滅之艦』維蘇威號|n|cFFFFD200區域：|r永恆之島|n,165,104294,0,0
|cFFFFD200世界事件：|r札拉贊恩之殞,168,54653,2,6
|cFFFFD200世界事件：|r新年節慶|n|n|cFFFFD200商人：|r法莉爾‧星歌|n|cFFFFD200區域：|r月光林地|n|cFFFFD200花費：|r25|TINTERFACE\ICONS\INV_MISC_ELVENCOINS.BLP:0|t,169,90000,0,6
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r100|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t,170,90427,0,2
|cFFFFD200世界事件：|r行動：諾姆瑞根,180,54651,2,6
|cFFFFD200來源：|r古樹的遺產,181,72223,2,1
|cFFFFD200世界事件：|r新年節慶|n|n|cFFFFD200商人：|r法莉爾‧星歌|n|cFFFFD200區域：|r月光林地|n|cFFFFD200花費：|r25|TINTERFACE\ICONS\INV_MISC_ELVENCOINS.BLP:0|t,182,89999,0,6
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,183,54343,0,2
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,184,54438,0,2
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,185,54437,0,2
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,186,44606,0,2
|cFFFFD200商人：|r世界商人|n|cFFFFD200花費：|r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,187,45057,0,2
|cFFFFD200專業技能：|r考古學,188,69776,0,3
|cFFFFD200商人：|r伊芙尼奇‧卡莎莉絲夫人|n|cFFFFD200區域：|r寒冰皇冠,189,46843,0,2
|cFFFFD200掉落：|r『心之看守者』夏佳隆|n|cFFFFD200區域：|r螳螂荒原,190,90067,0,0
|cFFFFD200商人：|r『巧手』雷尼‧麥考伊|n|cFFFFD200區域：|r暴風城|n|cFFFFD200花費：|r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,191,97921,0,2
|cFFFFD200商人：|r仲夏節商人|n|cFFFFD200區域：|r各大主城|n|cFFFFD200花費：|r350|TINTERFACE\ICONS\INV_SUMMERFEST_FIREFLOWER.BLP:0|t|n|n,192,34686,0,6
|cFFFFD200商人：|r啤酒節商人|n|cFFFFD200花費：|r100|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t,193,33927,0,6
|cFFFFD200商人：|r桑‧紅鱗|n|cFFFFD200區域：|r翠玉林|n|cFFFFD200陣營：|r雲蛟衛 - 崇敬|n|cFFFFD200花費：|r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,194,89222,4,2
|cFFFFD200世界事件：|r冬幕節,195,37710,0,6
|cFFFFD200專業技能：|r工程學,196,23767,0,3
|cFFFFD200任務：|r窒息的天空|n|cFFFFD200區域：|r螳螂荒原,197,88589,0,1
|cFFFFD200商人：|r魯克‧鷹拳|n|cFFFFD200區域：|r寒冰皇冠,198,45021,0,2
|cFFFFD200掉落：|r盜賊偷竊,199,36863,0,0
|cFFFFD200商人：|r艾芮希|n|cFFFFD200區域：|r寒冰皇冠,200,45020,0,2
|cFFFFD200商人：|r年‧鐵爪|n|cFFFFD200區域：|r四風峽|n|cFFFFD200花費：|r3|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t59|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t65|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,201,88801,0,2
|cFFFFD200黑市拍賣場|r,202,45063,0,2
|cFFFFD200促銷活動|r,203,69227,0,7
|cFFFFD200商人：|r莎莉‧嘶怒|n|cFFFFD200區域：|r四風峽|n|cFFFFD200花費：|r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,204,88802,0,2
|cFFFFD200來源：|r噁心的罐子|n|cFFFFD200商人：|r塔納克|n|cFFFFD200區域：|r休拉薩盆地,205,44719,0,2
|cFFFFD200任務：|r拯救未來|n|cFFFFD200區域：|r雷王島,206,95589,4,1
|cFFFFD200任務：|r生命之血|n|cFFFFD200區域：|r雷王島,207,95590,4,1
|cFFFFD200商人：|r瑞里‧軸螺|n|cFFFFD200區域：|r寒冰皇冠,208,45019,0,2
|cFFFFD200專業技能：|r工程學(425),209,40895,0,3
|cFFFFD200黑市拍賣場|r,210,33219,0,2
|cFFFFD200任務：|r金色的承諾|n|cFFFFD200區域：|r悚然荒野,211,88417,0,1
|cFFFFD200專業技能：|r考古學,212,69777,0,3
|cFFFFD200任務：|r猴人神像|n|cFFFFD200區域：|r崑萊峰,213,88385,0,1
|cFFFFD200黑市拍賣場|r,214,32542,0,2
|cFFFFD200促銷活動|r,215,54212,0,7
|cFFFFD200任務：|r振奮精神|n|cFFFFD200區域：|r螳螂荒原,216,88587,2,1
|cFFFFD200商人：|r德瑞克‧斑鬚|n|cFFFFD200區域：|r寒冰皇冠,217,45018,0,2
|cFFFFD200任務：|r藏匿|n|cFFFFD200區域：|r崑萊峰,218,88579,0,1
|cFFFFD200任務：|r祝的絕望|n|cFFFFD200區域：|r喀撒朗蠻荒,219,88580,0,1
|cFFFFD200掉落：|r瑟爾林‧卡斯迪諾夫醫生|n|cFFFFD200區域：|r通靈學院,220,88566,0,0
|cFFFFD200任務：|r滾動桶子！|n|cFFFFD200區域：|r崑萊峰,221,88531,0,1
|cFFFFD200任務：|r往事已成歷史|n|cFFFFD200區域：|r月光林地,222,71259,0,1
|cFFFFD200掉落：|r世界掉落,223,63269,0,0
|cFFFFD200世界事件：|r暗月馬戲團|n|cFFFFD200掉落：|r月牙|n|cFFFFD200區域：|r暗月島,224,101571,0,6
|cFFFFD200商人：|r瓦蘭‧高枝|n|cFFFFD200區域：|r熔岩前線|n|cFFFFD200花費：|r3500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,225,70159,0,2
|cFFFFD200黑市拍賣場|r,226,46780,0,2
|cFFFFD200掉落：|r世界掉落,227,35275,0,0
|cFFFFD200商人：|r弗雷卡‧血斧|n|cFFFFD200區域：|r寒冰皇冠,228,45014,0,2
|cFFFFD200商人：|r吉娜‧泥爪|n|cFFFFD200區域：|r四風峽|n|cFFFFD200陣營：|r耕者工會 - 崇敬|n|cFFFFD200花費：|r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,229,89869,4,2
|cFFFFD200任務：|r給他們地精式的解脫！|n|cFFFFD200區域：|r劍刃山脈,230,30690,0,1
|cFFFFD200寶藏：|r德拉諾巨蚌|n|cFFFFD200區域：|r霜火峰,231,108739,0,0
|cFFFFD200任務：|r橫衝直撞的齧齒動物|n|cFFFFD200區域：|r四風峽,232,88370,0,1
|cFFFFD200促銷活動|r,233,71628,0,7
|cFFFFD200商人：|r沙瑪巴|n|cFFFFD200區域：|r寒冰皇冠,234,45015,0,2
|cFFFFD200商人：|r拉維卡|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,235,97942,0,2
|cFFFFD200任務：|r劫掠者首領斯洛凡|n|cFFFFD200區域：|r喀撒朗蠻荒,236,88387,0,1
|cFFFFD200商人：|r崔利斯‧晨日|n|cFFFFD200區域：|r寒冰皇冠,237,45017,0,2
|cFFFFD200任務：|r道路救援|n|cFFFFD200區域：|r崑萊峰,238,88381,0,1
|cFFFFD200專業技能：|r工程學,239,17716,0,3
|cFFFFD200商人：|r莎莉‧嘶怒|n|cFFFFD200區域：|r四風峽|n|cFFFFD200花費：|r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,240,91904,0,2
|cFFFFD200商人：|r亞瑟‧弗路下士|n|cFFFFD200區域：|r寒冰皇冠,241,45011,0,2
|cFFFFD200任務：|r埋藏的猴人寶藏|n|cFFFFD200區域：|r喀撒朗蠻荒,242,80822,0,1
|cFFFFD200世界事件：|r愛就在身邊|n|cFFFFD200掉落：|r藥劑師胡默爾,243,50471,0,6
|cFFFFD200商人：|r杜魯‧雷角|n|cFFFFD200區域：|r寒冰皇冠,244,45013,0,2
|cFFFFD200商人：|r波格|n|cFFFFD200區域：|r托巴拉德半島|n|cFFFFD200陣營：|r地獄吼先鋒 - 尊敬|n|cFFFFD200花費：|r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,245,64997,4,2
|cFFFFD200商人：|r軍需官布瑞奇|n|cFFFFD200區域：|r托巴拉德半島|n|cFFFFD200陣營：|r巴拉丁鐵衛 - 尊敬|n|cFFFFD200花費：|r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,246,63141,4,2
|cFFFFD200任務：|r被憎恨同化|n|cFFFFD200區域：|r螳螂荒原,247,88584,0,1
|cFFFFD200任務：|r黃加紅等於橘|n|cFFFFD200區域：|r四風峽,248,88377,0,1
|cFFFFD200商人：|r伊莉莎‧基里安|n|cFFFFD200區域：|r寒冰皇冠,249,45016,0,2
|cFFFFD200來源：|r釣魚藏寶袋,250,45984,0,0
|cFFFFD200專業技能：|r考古學,251,69775,0,3
|cFFFFD200促銷活動|r,252,69215,0,7
|cFFFFD200黑市拍賣場|r,253,35227,0,2
|cFFFFD200商人：|r拉維卡|n|cFFFFD200花費：|r25|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,254,97919,0,2
|cFFFFD200世界事件：|r冬幕節,255,17712,0,6
|cFFFFD200專業技能：|r工程學,256,18660,0,3
|cFFFFD200掉落：|r盜賊偷竊,257,36862,0,0
|cFFFFD200商人：|r拉維卡|n|cFFFFD200花費：|r5|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,258,98552,0,2
|cFFFFD200商人：|r卻斯特|n|cFFFFD200區域：|r暗月島,264,116139,0,6
|cFFFFD200世界事件：|r暗月馬戲團|n|cFFFFD200任務：|r破碎的誓言,265,116067,0,6
|cFFFFD200商人：|r啤酒節商人|n|cFFFFD200花費：|r200|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t,269,71137,0,6
|cFFFFD200掉落：|r克里奇斯|n|cFFFFD200區域：|r塔拉多爾,270,116125,0,0
|cFFFFD200掉落：|r伊格德雷|n|cFFFFD200區域：|r影月谷,271,113570,0,0
|cFFFFD200掉落：|r絕息|n|cFFFFD200區域：|r霜火峰,272,111476,0,0
|cFFFFD200世界事件：|r暗月馬戲團|n|cFFFFD200成就：|r艾里絲拉卓的後裔,273,116115,0,6
|cFFFFD200世界事件：|r暗月馬戲團|n|cFFFFD200商人：|r卡爾‧古德阿|n|cFFFFD200區域：|r暗月島|n|cFFFFD200花費：|r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,275,75042,0,6
神秘不可解的謎！,278,118191,2,0
|cFFFFD200商人：|r走私者|n|cFFFFD200區域：|r阿拉卡山|n|cFFFFD200花費：|r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,279,113096,0,2
|cFFFFD200專業技能：|r工程學,280,109183,0,3
|cFFFFD200Blizzard精品商城|r,281,112324,0,7
|cFFFFD200要塞任務|r,282,118427,0,0
|cFFFFD200任務：|r再見了，小魚|n|cFFFFD200區域：|r艾薩拉,283,53057,0,1
|cFFFFD200任務：|r勇士試煉|n|cFFFFD200區域：|r影月谷,285,119144,0,1
|cFFFFD200掉落：|r巴斯頓|n|cFFFFD200區域：|r格古隆德,286,119432,0,0
|cFFFFD200掉落：|r曲魂師托雷克|n|cFFFFD200區域：|r影月谷,287,119178,0,0
|cFFFFD200寶藏：|r迪賽西雅的悶燒長靴 |n|cFFFFD200區域：|r塔拉多爾,289,108743,0,0
|n,290,110586,2,0
|cFFFFD200商人：|r貝絲卡‧赤牙|n|cFFFFD200區域：|r戰爭之矛|n|cFFFFD200陣營：|r霜狼獸人 - 尊敬|n|cFFFFD200花費：|r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,293,115468,4,2
|cFFFFD200任務：|r鑽石恆久遠|n|cFFFFD200區域：|r霜火峰,294,115503,0,1
|cFFFFD200寶藏：|r沼澤螢光蟲巢|n|cFFFFD200區域：|r影月谷,295,117550,0,0
|cFFFFD200寶藏：|r古怪的死網蛛蛋|n|cFFFFD200區域：|r塔拉多爾,296,117569,0,0
|cFFFFD200給予者：|r安多哈爾的索拉雷,297,117573,0,0
|cFFFFD200掉落：|r化石木|n|cFFFFD200區域：|r格古隆德,298,118221,0,0
|cFFFFD200掉落：|r鐵鬚船長|n|cFFFFD200區域：|r納葛蘭,299,118244,0,0
|cFFFFD200任務：|r霜火之怒|n|cFFFFD200區域：|r霜火峰,301,119145,0,1
|cFFFFD200商人：|r奇爾利普|n|cFFFFD200區域：|r貿易站|n|cFFFFD200陣營：|r獰笑骷髏獸人 - 尊敬|n|cFFFFD200花費：|r1250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,302,119160,4,2
,303,72222,2,-1
|cFFFFD200掉落：|r『懦弱的』吉博列特|n|cFFFFD200區域：|r霜火峰,304,72228,2,0
|cFFFFD200商人：|r瑪莉亞|n|cFFFFD200區域：|r貿易站|n|cFFFFD200陣營：|r撒塔斯守軍 - 尊敬,305,119182,4,2
|cFFFFD200成就：|r玩具大師|n|cFFFFD200類別：|r玩具箱,306,119215,0,5
|cFFFFD200要塞建築：|r鬥士會堂|n,307,119217,0,0
|cFFFFD200要塞建築：|r鬥士會堂|n|n,308,119218,0,0
|cFFFFD200寶藏：|r天槌的寶藏|n|cFFFFD200區域：|r大競技場,309,119219,0,0
,310,119220,2,-1
,311,119221,2,-1
|cFFFFD200商人：|r瑪莉亞|n|cFFFFD200區域：|r貿易站|n|cFFFFD200陣營：|r撒塔斯守軍 - 崇敬,312,119421,4,2
|cFFFFD200寶藏：|r占星師的箱子|n|cFFFFD200區域：|r影月谷,319,109739,0,0
|cFFFFD200掉落：|r燃燒前線|n|cFFFFD200區域：|r塔拉多爾|n,320,116122,0,0
|cFFFFD200商人：|r班傑明‧布羅德|n|cFFFFD200花費：|r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,322,119212,0,2
|cFFFFD200商人：|r班傑明‧布羅德|n|cFFFFD200花費：|r1000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,324,119210,0,2
|cFFFFD200掉落：|r巴希歐克|n|cFFFFD200區域：|r格古隆德,325,118222,0,0
|cFFFFD200掉落：|r領軍托姆|n|cFFFFD200區域：|r納葛蘭,327,120276,0,0
|cFFFFD200寶藏：|r競技場大師的戰爭號角|n|cFFFFD200區域：|r霜火峰,328,108735,0,0
|cFFFFD200掉落：|r莫爾墨的回聲|n|cFFFFD200區域：|r塔拉多爾,329,113670,0,0
|cFFFFD200掉落：|r催眠蟾蜍|n|cFFFFD200區域：|r影月谷,330,113631,0,0
|cFFFFD200寶藏：|r復仇者的儲物箱|n|cFFFFD200區域：|r影月谷,331,113375,0,0
|cFFFFD200寶藏：|r溫暖的戈倫蛋|n|cFFFFD200區域：|r格古隆德,332,118716,0,0
|cFFFFD200掉落：|r索菲里歐斯|n|cFFFFD200區域：|r格古隆德,333,114227,0,0
|cFFFFD200世界事件：|r愛就在身邊,334,116651,0,6
|cFFFFD200世界事件：|r啤酒節|n|cFFFFD200花費：|r100|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t,335,116758,0,6
|cFFFFD200世界事件：|r冬幕節,336,116763,0,6
|cFFFFD200世界事件：|r旅人豐年祭,337,116400,0,6
|cFFFFD200要塞建築：|r旅店,338,118937,0,0
|cFFFFD200要塞建築：|r旅店,339,118938,0,0
|cFFFFD200要塞建築：|r旅店,340,119003,0,0
|cFFFFD200要塞建築：|r旅店,341,119039,0,0
|cFFFFD200要塞建築：|r旅店,342,119083,0,0
|cFFFFD200要塞建築：|r旅店,343,72232,2,-1
|cFFFFD200商人：|r仲夏節慶商人|n|cFFFFD200花費：|r500|TINTERFACE\ICONS\INV_SUMMERFEST_FIREFLOWER.BLP:0|t|n,344,116440,0,2
|cFFFFD200商人：|r仲夏節慶商人|n|cFFFFD200花費：|r350|TINTERFACE\ICONS\INV_SUMMERFEST_FIREFLOWER.BLP:0|t|n,345,116435,0,6
|cFFFFD200世界事件：|r啤酒節|n|cFFFFD200花費：|r200|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t,346,116757,0,6
|cFFFFD200世界事件：|r冬幕節,347,116689,0,6
|cFFFFD200世界事件：|r冬幕節,348,116690,0,6
|cFFFFD200世界事件：|r冬幕節,349,116691,0,6
|cFFFFD200世界事件：|r冬幕節,350,116692,0,6
|cFFFFD200任務：|r索奎薩爾之怒|n,351,119134,0,1
|cFFFFD200偷竊|r|n,352,120857,2,0
|cFFFFD200要塞建築：|r旅店,357,119092,0,0
|cFFFFD200成就：|r塞拉摩攻防戰|n|cFFFFD200類別：|r偉業,359,89205,2,5
|cFFFFD200專業技能：|r工程學,360,108745,0,3
|cFFFFD200成就：|r真是一段奇妙的時空穿越之旅|n|cFFFFD200類別：|r地城與團隊,361,122293,0,5
|cFFFFD200掉落：|r管理者鹿盔|n|cFFFFD200區域：|r火源之界|n|cFFFFD200職業：|r德魯伊,365,122304,0,0
,366,122283,6,-1
|cFFFFD200世界事件：|r冬幕節,367,116456,0,6
|cFFFFD200成就：|r暗月競速路霸|n|cFFFFD200類別：|r暗月馬戲團,368,122129,0,5
|cFFFFD200成就：|r荒野飆客：黃金|n|cFFFFD200類別：|r暗月馬戲團,369,122126,0,5
|cFFFFD200成就：|r電能高手：黃金|n|cFFFFD200類別：|r暗月馬戲團,371,122120,0,5
|cFFFFD200成就：|r坦克指揮官|n|cFFFFD200類別：|r暗月馬戲團,372,122122,0,5
|cFFFFD200成就：|r從不槓龜|n|cFFFFD200類別：|r暗月馬戲團,373,122123,0,5
|cFFFFD200任務：|r晶瑩剔透|n|cFFFFD200區域：|r暴風城|n|cFFFFD200區域：|r奧格瑪,374,122674,0,1
|cFFFFD200成就：|r艾澤拉斯金曲排行榜|n|cFFFFD200類別：|r要塞,375,122700,0,5
|cFFFFD200掉落：|r托葛羅斯|n|cFFFFD200區域：|r霜火峰,376,119163,0,0
|cFFFFD200任務：|r撿一隻犛牛|n|cFFFFD200區域：|r螳螂荒原,377,82467,0,1
|cFFFFD200掉落：|r爐邊歌手弗瑞斯坦|n|cFFFFD200區域：|r斯坦索姆,378,13379,0,0
|cFFFFD200掉落：|r布靈登5000型禮物包|n,379,123851,0,0
|cFFFFD200成就：|r火箭俠：黃金|n|cFFFFD200類別：|r暗月馬戲團,381,122119,0,5
|cFFFFD200世界事件：|r亡者節|n,383,116856,0,6
|cFFFFD200世界事件：|r亡者節|n,384,116888,0,6
|cFFFFD200世界事件：|r亡者節|n,385,116889,0,6
|cFFFFD200世界事件：|r亡者節|n,386,116890,0,6
|cFFFFD200世界事件：|r亡者節|n,387,116891,0,6
|cFFFFD200商人：|r加里莎‧日露|n|cFFFFD200區域：|r暗月島,388,126931,0,2
|cFFFFD200寶藏：|r奧秘魔典|n|cFFFFD200區域：|r塔南森林,389,127670,0,0
|cFFFFD200寶藏：|r地獄火珠寶|n|cFFFFD200區域：|r塔南森林,390,127668,0,0
|cFFFFD200任務：|r大掃除|n|cFFFFD200區域：|r阿拉卡山|n|n|cFFFFD200任務：|r不在你的軍隊中|n|cFFFFD200區域：|r阿拉卡山,391,119001,0,1
|cFFFFD200商人：|r緹菲‧阱簧、蓋亞達‧金鏈|n|cFFFFD200區域：|r要塞,392,127695,0,2
|cFFFFD200商人：|r緹菲‧阱簧、蓋亞達‧金鏈|n|cFFFFD200區域：|r要塞,393,127696,0,2
|cFFFFD200商人：|r緹菲‧阱簧、蓋亞達‧金鏈|n|cFFFFD200區域：|r要塞,394,127707,0,2
|cFFFFD200寶藏：|r完美的花朵|n|cFFFFD200區域：|r塔南森林,395,127766,0,0
