ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,NavigationMaxDistance,PreloadFileDataID,Flags[0],Flags[1],Flags[2]
269,CavernsOfTime,開啟黑暗之門,,,,,-8750.827,-4193.513,1,1,1,0,212,-1,-1,-1,0,1,1,5,0,0,829736,0,0,1553,134479880,0
289,SchoolofNecromancy,通靈學院,,,,,1274.7812,-2552.564,1,1,0,0,102,-1,-1,-1,0,1,0,5,0,0,790713,0,0,1553,134479880,0
309,Zul'gurub,古祖爾格拉布,,,,,-11916.06,-1224.5771,1,1,0,1977,161,-1,-1,-1,0,1,0,20,0,0,791432,0,0,525841,134479880,0
329,Stratholme,斯坦索姆,,,,,3392.317,-3378.4832,1,1,0,0,101,-1,-1,-1,0,1,0,5,0,0,791063,0,0,1553,134479880,0
349,Mauradon,瑪拉頓,,,,,-1432.6971,2924.9775,2,1,0,2100,81,-1,-1,-1,0,1,1,10,0,0,788656,0,0,1553,134479880,0
369,DeeprunTram,礦道地鐵,,,,,-8349.224,517.34796,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,780788,0,0,268437009,134480384,128
389,OrgrimmarInstance,怒焰裂谷,,,,,1816.7559,-4423.3716,2,1,0,2437,195,-1,-1,-1,0,1,1,10,0,0,789981,0,0,1553,134479880,0
409,MoltenCore,熔火之心,,,,,-7510.565,-1036.6981,2,2,0,2717,192,-1,-1,-1,0,1,0,40,0,0,788659,0,0,1553,134479880,0
429,DireMaul,厄運之槌,,,,,-3908.03,1130,2,1,0,2557,82,-1,-1,-1,0,1,1,5,0,0,780814,0,0,1537,134479880,128
449,AlliancePVPBarracks,聯盟PVP兵營,,,,,0,0,2,0,0,2918,181,-1,-1,-1,0,1,-1,0,0,0,775968,0,0,1553,134479880,0
450,HordePVPBarracks,部落PVP兵營,,,,,0,0,2,0,0,2917,182,-1,-1,-1,0,1,-1,0,0,0,782776,0,0,1553,134479880,0
469,BlackwingLair,黑翼之巢,,,,,-7663.4126,-1218.6665,1,2,0,2677,141,-1,-1,-1,0,1,0,40,0,0,780178,0,0,1553,134479880,0
489,PVPZone03,經典戰歌峽谷,"在位於梣谷森林和貧瘠之地交界處的戰歌峽谷中，聯盟和部落之間的戰爭一直在激烈地進行著。

在這個10人對10人的搶旗型戰場，首先奪得3面旗幟的那方就是勝利者。

為了幫助自己的盟友取得勝利，艾澤拉斯的每一個種族都加入這片戰場，用自己的劍和魔法與敵人展開廝殺。","在位於梣谷森林和貧瘠之地交界處的戰歌峽谷中，聯盟和部落之間的戰爭一直在激烈地進行著。

在這個10人對10人的搶旗型戰場，首先奪得3面旗幟的那方就是勝利者。

為了幫助自己的盟友取得勝利，艾澤拉斯的每一個種族都加入這片戰場，用自己的劍和魔法與敵人展開廝殺。",奪取敵方旗幟,"- 保護我方旗幟
- 搶奪敵方旗幟
- 搶旗較快的團隊獲勝",0,0,1,3,0,3277,122,-1,-1,-1,0,1,-1,0,0,0,790291,0,0,1553,135004160,0
509,AhnQiraj,安其拉廢墟,,,,,-8114.4644,1526.3657,1,2,0,3429,184,-1,-1,-1,0,1,1,20,0,0,775637,0,0,1553,134479880,0
529,PVPZone04,經典阿拉希盆地,"阿拉希盆地是艾澤拉斯大陸上人類和被遺忘者之間的主要戰場之一。

阿拉希盆地是一個15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制獸欄、鐵匠鋪、礦坑、伐木場與農場。

「污染者」精銳部隊的目標是切斷人類和他們位於南方的矮人同盟之間的聯絡。

而阿拉索聯軍則是想要為暴風城奪回更多的失地。","阿拉希盆地是艾澤拉斯大陸上人類和被遺忘者之間的主要戰場之一。

阿拉希盆地是一個15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制獸欄、鐵匠鋪、礦坑、伐木場與農場。

「污染者」精銳部隊的目標是切斷人類和他們位於南方的矮人同盟之間的聯絡。

而阿拉索聯軍則是想要為暴風城奪回更多的失地。",占領目標,"- 占領並守住目標
- 獲得1,500點資源",0,0,1,3,0,3358,183,-1,-1,-1,0,1.25,-1,0,0,0,790377,0,0,1553,135004160,0
530,Expansion01,外域,,,,,0,0,1,0,1,0,198,-1,-1,-1,0,1,-1,0,0,804943,828395,0,0,1553,134479880,128
531,AhnQirajTemple,安其拉神廟,,,,,-8111.724,1526.7858,1,2,0,3428,185,-1,-1,-1,0,1,1,40,0,0,775840,0,0,1553,134479880,0
532,Karazahn,卡拉贊,,,,,-11110.407,-2004.0653,1,2,1,3457,200,-1,-1,-1,0,1,0,10,0,0,834192,0,0,1553,134479880,0
533,Stratholme Raid,納克薩瑪斯,,,,,0,0,1,2,2,3456,197,-1,-1,-1,0,1,-1,25,0,0,827115,0,0,34321,134479880,0
534,HyjalPast,海加爾山之戰,,,,,-8178.508,-4182.0503,1,2,1,616,212,-1,-1,-1,0,1,1,25,0,0,831824,0,0,1553,134479880,0
540,HellfireMilitary,地獄火堡壘:破碎大廳,,,,,-306.75818,3064.4355,2,1,1,3714,199,-1,-1,-1,0,1,530,5,0,0,831277,0,0,1553,134479880,0
542,HellfireDemon,地獄火堡壘:血熔爐,,,,,-295.41934,3151.9927,2,1,1,3713,199,-1,-1,-1,0,1,530,5,0,0,830642,0,0,1553,134479880,0
543,HellfireRampart,地獄火堡壘:地獄火壁壘,,,,,-360.04987,3067.8955,1,1,1,3562,199,-1,-1,-1,0,1,530,5,0,0,832154,0,0,67089,134479880,0
544,HellfireRaid,瑪瑟里頓的巢穴,,,,,-330.23386,3106.636,2,2,1,3836,208,-1,-1,-1,0,1,530,25,0,0,833183,0,0,1553,134479880,0
545,CoilfangPumping,盤牙:蒸汽洞窟,,,,,764.21906,6915.0796,2,1,1,3715,207,-1,-1,-1,0,1,530,5,0,0,828422,0,0,1553,134479880,0
546,CoilfangMarsh,盤牙:深幽泥沼,,,,,764.62823,6768.0728,2,1,1,3716,207,-1,-1,-1,0,1,530,5,0,0,831262,0,0,1553,134479880,0
547,CoilfangDraenei,盤牙:奴隸監獄,,,,,742.1582,7011.3267,2,1,1,3717,207,-1,-1,-1,0,1,530,5,0,0,830731,0,0,1553,134479880,0
548,CoilfangRaid,盤牙:毒蛇神殿洞穴,,,,,775.7864,6865.2427,2,2,1,3607,207,-1,-1,-1,0,1,530,25,0,0,829900,0,0,1553,134479880,0
550,TempestKeepRaid,風暴要塞,,,,,0,0,2,2,1,3845,206,-1,-1,-1,0,1,-1,25,0,0,832484,0,0,1553,134479880,0
552,TempestKeepArcane,風暴要塞：亞克崔茲,,,,,0,0,2,1,1,3848,206,-1,-1,-1,0,1,-1,5,0,0,832070,0,0,1553,134479880,0
553,TempestKeepAtrium,風暴要塞:波塔尼卡,,,,,0,0,2,1,1,3847,206,-1,-1,-1,0,1,-1,5,0,0,833950,0,0,1553,134479880,0
554,TempestKeepFactory,風暴要塞:麥克納爾,,,,,0,0,2,1,1,3849,206,-1,-1,-1,0,1,-1,5,0,0,831974,0,0,1553,134479880,0
555,AuchindounShadow,奧齊頓:暗影迷宮,,,,,-3640.6877,4943.1626,2,1,1,3789,201,-1,-1,-1,0,1,530,5,0,0,828331,0,0,1553,134479880,0
556,AuchindounDemon,奧齊頓:塞司克大廳,,,,,-3361.8625,4665.5923,2,1,1,3791,201,-1,-1,-1,0,1,530,5,0,0,828811,0,0,1553,134479880,0
557,AuchindounEthereal,奧齊頓：法力墓地,,,,,-3089.5164,4942.7563,2,1,1,3792,201,-1,-1,-1,0,1,530,5,0,0,830899,0,0,1553,134479880,0
558,AuchindounDraenei,奧齊頓:奧奇奈地穴,,,,,-3363.44,5156.455,2,1,1,3790,201,-1,-1,-1,0,1,530,5,0,0,830415,0,0,1553,134479880,0
559,PVPZone05,納葛蘭競技場(舊),,,,,0,0,1,4,0,0,219,-1,-1,-1,0,1,-1,0,0,0,790469,0,0,1553,135004168,0
560,HillsbradPast,逃離敦霍爾德,,,,,-8309.81,-4061.5088,1,1,1,267,212,-1,-1,-1,0,1,1,5,0,0,833998,0,0,9745,134479880,0
562,bladesedgearena,zzOld劍刃競技場,,,,,0,0,1,4,0,3702,218,-1,-1,-1,0,1,-1,0,0,0,780261,0,0,1553,135004168,0
564,BlackTemple,黑暗神廟,,,,,-3644.53,317.294,1,2,1,0,215,-1,-1,-1,0,1,530,25,0,0,829630,0,0,1553,134479880,0
565,GruulsLair,戈魯爾之巢,,,,,3525.453,5144.151,2,2,1,3923,213,-1,-1,-1,0,1,530,25,0,0,833180,0,0,1553,134479880,0
566,NetherstormBG,暴風之眼,"盤旋在虛空風暴荒蕪土地高處的，是一座名為暴風之眼的小島。

暴風之眼是一座15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制法師塔、惡魔劫奪者廢墟、血精靈塔與德萊尼廢墟。

這裡因為蘊含了豐富的能量，久為血精靈垂涎之地。

因為這裡和那魯神秘的飛船 - 風暴要塞十分接近，所以德萊尼想佔有此地。","盤旋在虛空風暴荒蕪土地高處的，是一座名為暴風之眼的小島。

暴風之眼是一座15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制法師塔、惡魔劫奪者廢墟、血精靈塔與德萊尼廢墟。

這裡因為蘊含了豐富的能量，久為血精靈垂涎之地。

因為這裡和那魯神秘的飛船 - 風暴要塞十分接近，所以德萊尼想佔有此地。",占領目標,"- 占領並守住目標
- 搶得戰場中央旗幟
- 獲得1,500點資源",0,0,1,3,0,0,210,-1,-1,-1,0,1,-1,0,0,0,788893,0,0,1553,135004168,0
568,ZulAman,祖阿曼,,,,,6851.021,-7989.7134,1,1,3,0,276,-1,-1,-1,0,1,530,10,0,0,815727,0,0,1553,134479880,0
571,Northrend,北裂境,,,,,0,0,1,0,2,0,216,-1,-1,-1,0,1,-1,0,0,804939,822688,0,0,16786973,134479896,128
572,PVPLordaeron,羅德隆廢墟,,,,,0,0,1,4,0,0,217,-1,-1,-1,0,1,-1,0,0,0,789984,0,0,1553,135004168,0
574,Valgarde70,俄特加德要塞,,,,,1211.7594,-4868.422,1,1,2,0,220,-1,-1,-1,0,1,571,5,0,0,825743,0,0,9757,134479880,0
575,UtgardePinnacle,俄特加德之巔,,,,,1232.4098,-4860.9536,1,1,2,0,221,-1,-1,-1,0,1,571,5,0,0,827661,0,0,67101,134479880,0
576,Nexus70,奧核之心,,,,,3899.9258,6985.4355,2,1,2,4265,226,-1,-1,-1,0,1,571,5,0,0,821331,0,0,1553,134479880,0
578,Nexus80,奧核之眼,,,,,3865.923,6983.94,1,1,2,0,227,-1,-1,-1,0,1,571,5,0,0,819814,0,0,1565,134479880,0
580,SunwellPlateau,太陽之井,,,,,12551.763,-6774.5654,1,2,1,0,225,-1,-1,-1,0,1,530,25,0,0,832953,0,0,1553,134479880,0
582,Transport176244,傳送:魯瑟蘭到奧伯丁,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
584,Transport176231,傳送:米奈希爾到塞拉摩,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
585,Sunwell5ManFix,博學者殿堂,,,,,12881.902,-7343.0947,1,1,1,0,224,-1,-1,-1,0,1,530,5,0,0,834223,0,0,67101,134479880,0
586,Transport181645,傳送:艾克索達到奧伯丁,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
587,Transport177233,傳送:羽月渡口,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
588,Transport176310,傳送:米奈希爾到奧伯丁,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
589,Transport175080,傳送:奧格瑪到格羅姆高,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
590,Transport176495,傳送:格羅姆高到幽暗城,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
591,Transport164871,傳送:幽暗城到奧格瑪,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
592,Transport186238,傳送:北風凍原測試,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
593,Transport20808,傳送:藏寶海灣到棘齒城,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
594,Transport187038,傳送:凜風峽灣慈悲姐妹號 (任務),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
595,StratholmeCOT,斯坦索姆的抉擇,,,,,-8756.087,-4457.418,1,1,2,0,222,-1,-1,-1,0,1,1,5,0,0,826005,0,0,1553,134479880,0
596,Transport187263,傳送:奈格法,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
599,Ulduar70,石之大廳,,,,,8921.793,-966.80646,1,1,2,0,230,-1,-1,-1,0,1,571,5,0,0,824642,0,0,1565,134479880,0
600,DrakTheronKeep,德拉克薩隆要塞,,,,,4774.583,-2023.0491,1,1,2,0,228,-1,-1,-1,0,1,571,5,0,0,820968,0,0,1565,134479880,0
601,Azjol_Uppercity,阿茲歐-奈幽,,,,,3672.2153,2171.2751,1,1,2,0,229,-1,-1,-1,0,1,571,5,0,0,818693,0,0,1565,134479880,0
602,Ulduar80,雷光大廳,,,,,9185.088,-1386.7906,1,1,2,0,231,-1,-1,-1,0,1,571,5,0,0,824768,0,0,1565,134479880,0
603,UlduarRaid,奧杜亞,,,,,9359.371,-1115.1754,1,2,2,0,244,0,-1,-1,0,1,571,5,0,0,825015,0,0,1565,134479880,0
604,GunDrak,剛德拉克,,,,,6708.731,-4654.904,1,1,2,0,237,-1,-1,-1,0,1,571,5,0,0,818626,0,0,1565,134479880,0
607,NorthrendBG,遠祖灘頭,"龍骨荒野的南方藏著一個富有傳奇色彩的泰坦神器，聯盟與部落都知道這個神器之中藏有泰坦族以及他們生存方式相關的重要情報。

遠祖灘頭是一個15人對15人的戰場，在這裡雙方輪流攻擊與防守島嶼南端的泰坦神器。

好好準備作戰吧，決定誰能在遠祖灘頭獲勝的可不光只是命運而已。","龍骨荒野的南方藏著一個富有傳奇色彩的泰坦神器，聯盟與部落都知道這個神器之中藏有泰坦族以及他們生存方式相關的重要情報。

遠祖灘頭是一個15人對15人的戰場，在這裡雙方輪流攻擊與防守島嶼南端的泰坦神器。

好好準備作戰吧，決定誰能在遠祖灘頭獲勝的可不光只是命運而已。",搶奪泰坦聖物,"- 攻擊者：攻擊大門和聖物
- 防禦者：防禦大門和聖物
- 最快獲得聖物的團隊獲勝",0,0,1,3,0,0,238,-1,-1,-1,0,1,-1,0,0,0,789579,0,0,1565,135004168,0
608,DalaranPrison,紫羅蘭堡,,,,,5689.4897,498.04694,1,1,2,0,235,-1,-1,-1,0,1,571,5,0,0,818205,0,0,1565,134479880,0
609,DeathKnightStart,黯黑堡,,,,,0,0,1,0,2,0,233,-1,-1,-1,0,1,-1,0,0,0,818210,0,0,67101,134479880,0
610,Transport_Tirisfal _Vengeance_Landing,傳送:提里斯法到復仇臺地,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
612,Transport_Menethil_Valgarde,傳送:米奈希爾到瓦爾加德,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
613,Transport_Orgrimmar_Warsong_Hold,傳送:奧格瑪到戰歌堡,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
614,Transport_Stormwind_Valiance_Keep,傳送:風暴城到驍勇要塞,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
615,ChamberOfAspectsBlack,黑曜聖所,,,,,3438.1533,260.4013,1,2,2,0,239,-1,-1,-1,0,1,571,0,0,0,820448,0,0,34333,134479880,0
616,NexusRaid,永恆之眼,,,,,3869.9814,6984.33,1,2,2,0,236,-1,-1,-1,0,1,571,5,0,0,822560,0,0,34333,134479880,0
617,DalaranArena,達拉然下水道,,,,,0,0,1,4,0,0,242,0,-1,-1,0,1,-1,0,0,0,780309,0,0,1565,135004168,0
618,OrgrimmarArena,勇武競技場,,,,,0,0,1,4,0,0,240,720,-1,-1,0,1,-1,0,0,0,789925,0,0,4195869,135004168,0
619,Azjol_LowerCity,安卡罕特：古王國,,,,,3641.458,2032.0638,1,1,2,0,234,-1,-1,-1,0,1,571,0,0,0,818056,0,0,1565,134479880,0
620,Transport_Moa'ki_Unu'pe,傳送:默亞基到昂紐沛,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
621,Transport_Moa'ki_Kamagua,傳送:默亞基到卡瑪廓,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
622,Transport192241,傳送:奧格林之錘,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
623,Transport192242,傳送:破天者號,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
624,WintergraspRaid,亞夏梵穹殿,,,,,5488.1245,2840.3337,1,2,2,0,243,-1,-1,-1,0,1,571,0,0,0,826589,0,0,34365,-2013003768,0
627,unused,Unused (DELETE ME),,,,,0,0,1,5,6,0,25,-1,-1,-1,0,1,-1,0,0,0,856557,0,0,15957,134479872,0
628,IsleofConquest,征服之島,"征服之島是聯盟與部落在北裂境戰事的重要戰略據點，雙方都想要控制這座島嶼。

在這個大規模戰場之中，雙方都設法控制攻城工坊、碼頭或機棚，以確保進軍敵方要塞的路線，並擊敗敵方將軍(海弗德‧龍禍或霸主阿格瑪)。","征服之島是聯盟與部落在北裂境戰事的重要戰略據點，雙方都想要控制這座島嶼。

在這個大規模戰場之中，雙方都設法控制攻城工坊、碼頭或機棚，以確保進軍敵方要塞的路線，並擊敗敵方將軍(海弗德‧龍禍或霸主阿格瑪)。",擊殺敵方首領,"- 搶奪載具重生點
- 攻入敵方堡壘
- 擊殺敵方首領",0,0,1,3,2,0,245,-1,-1,-1,0,1,-1,0,0,0,821811,0,0,1565,135004168,0
631,IcecrownCitadel,冰冠城塞,,,,,5776.922,2065.9324,1,2,2,0,250,-1,-1,-1,0,1,571,0,0,0,820428,0,0,34333,-2013003768,0
632,IcecrownCitadel5Man,眾魂熔爐,,,,,5670.7915,2003.6285,1,1,2,0,249,-1,-1,-1,0,1,571,0,0,0,818965,0,0,1565,134479880,0
637,AbyssalMaw,深淵之喉外部,,,,,0,0,1,1,3,0,23,-1,-1,-1,0,1,-1,0,0,0,814762,0,0,1565,134479880,0
638,Gilneas,吉爾尼斯,,,,,0,0,1,0,0,0,4,-1,654,-1,0,1,-1,0,0,0,782283,0,0,1629,134479884,0
641,Transport_AllianceAirshipBG,傳送:聯盟飛船BG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
642,Transport_HordeAirshipBG,傳送:部落飛船BG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
643,AbyssalMaw_Interior,海潮王座,,,,,-5585.8716,5401.6494,1,1,3,0,255,-1,-1,-1,0,1,0,0,0,0,814875,0,0,17949,134479880,0
644,Uldum,起源大廳,,,,,-10225.995,-1837.4791,1,1,3,0,256,1080,-1,-1,0,1,1,0,0,0,817800,0,0,1565,134479880,0
645,BlackRockSpire_4_0,黑石洞穴,,,,,-7570.2446,-1330.6841,1,1,3,0,267,-1,-1,-1,0,1,0,0,0,0,813034,0,0,1565,134479880,0
646,Deephome,地深之源,,,,,0,0,1,0,3,0,268,-1,-1,-1,0,1,-1,0,0,0,816934,0,0,1629,134488072,0
647,Transport_Orgrimmar_to_Thunderbluff,傳送:奧格瑪到雷霆崖,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
648,LostIsles,失落群島,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,0,0,787837,0,0,271965,134479884,0
649,ArgentTournamentRaid,十字軍試煉,,,,,8515.286,736.13715,1,2,2,0,246,-1,-1,-1,0,1,571,0,0,0,818173,0,0,34333,-2013003768,0
650,ArgentTournamentDungeon,勇士試煉,,,,,8571.435,792.2205,1,1,2,0,247,-1,-1,-1,0,1,571,0,0,0,817987,0,0,1565,-2013003768,0
654,Gilneas2,吉爾尼斯2,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,0,0,782341,0,0,263709,134479884,0
655,GilneasPhase1,吉爾尼斯階段1,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782644,0,0,1629,134479884,0
656,GilneasPhase2,吉爾尼斯階段2,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782667,0,0,1629,134479884,0
657,SkywallDungeon,漩渦尖塔,,,,,-11522.493,-2317.934,1,1,3,0,259,1230,-1,-1,0,1,1,0,0,0,817086,0,0,1565,134479880,0
658,QuarryofTears,薩倫之淵,,,,,5592.057,2010.2709,1,1,2,0,252,-1,-1,-1,0,1,571,0,0,0,827056,0,0,1565,134479880,0
659,LostIslesPhase1,失落群島火山爆發,,,,,0,0,1,0,0,0,3,-1,648,-1,0,1,-1,0,0,0,788585,0,0,1565,134479884,0
661,LostIslesPhase2,失落群島盒中鎮,,,,,0,0,1,0,0,0,0,-1,648,-1,0,1,-1,0,0,0,788648,0,0,1565,134479884,0
662,Transport197195,傳送:聯盟瓦許伊爾船,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
668,HallsOfReflection,倒影大廳,,,,,5628.875,1973.2865,1,1,2,0,253,-1,-1,-1,0,1,571,0,0,0,818690,0,0,1565,134479880,0
669,BlackwingDescent,黑翼陷窟,,,,,-7541.7676,-1188.8317,1,2,3,0,260,-1,-1,-1,0,1,0,0,0,0,813052,0,0,34333,134479880,0
670,GrimBatolDungeon,格瑞姆巴托,,,,,-4047.74,-3446.35,1,1,3,0,257,-1,-1,-1,0,1,0,0,0,0,815686,0,0,1565,134479880,0
671,GrimBatolRaid,暮光堡壘,,,,,-4903.0103,-4221.21,1,2,3,0,266,-1,-1,-1,0,1,0,0,0,0,814552,0,0,34333,134479880,0
672,Transport197347,傳送:破天者號(冰冠城塞團隊),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
673,Transport197348,傳送:奧格林之錘(冰冠城塞團隊),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
674,Transport197349-2,傳送:前往瓦許伊爾的船,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,0,1553,134479880,0
