Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
恢復,恢復,"召喚先祖之魂以及水之淨化力量來治療盟友傷勢的醫者。
慣用武器：錘、匕首和盾牌",264,7,2,0,1,3,136052,0,369,77226,0
痛苦,痛苦,"精通暗影魔法，擅長使用吸取生命力和持續性傷害的法術。
慣用武器：法杖、魔杖、匕首、劍",265,9,0,0,2,67,136145,0,357,77215,0
惡魔學識,惡魔學識,"善用惡魔軍團的惡魔指揮官，能扭曲部下的靈魂，化為毀滅的力量。

慣用武器：法杖、魔杖、匕首、劍",266,9,1,0,2,3,136172,0,357,77219,0
毀滅,毀滅,"精通混沌之力的大師，可呼喚魔化火焰來焚燒消滅敵人。
慣用武器：法杖、魔杖、匕首、劍",267,9,2,0,2,3,136186,0,357,77220,0
釀酒,釀酒,"堅強的格鬥專家，會施展難以捉摸的步法以及飲用神秘佳釀來迴避傷害與保護隊友。
慣用武器：法杖、長柄武器",268,10,0,0,0,4,608951,2,618,117906,0
御風,御風,"絕頂的武術高手，擅長以迅捷威猛的拳腳招式來打擊敵人。
慣用武器：拳套、斧、錘、劍",269,10,2,0,2,68,608953,2,618,115636,0
織霧,織霧,"能夠導引神秘的生命能量，並且活用玉蛟傳承的智慧來醫治盟友的治療者。
慣用武器：法杖、錘、劍",270,10,1,0,1,5,608952,0,618,117907,0
凶暴,凶暴,這些肉食性野獸對追殺獵物有近乎瘋狂的執著，沒有任何東西能阻撓牠們，甚至連死亡都只是暫時性的而已。,535,0,0,0,2,32,236159,0,0,0,0
靈巧,靈巧,狡黠的生物，能夠以純熟的技巧來為自身或盟友減輕足以致命的攻擊。,536,0,2,2,2,32,132150,0,0,0,0
堅毅,堅毅,堅實老練的防禦者，忠心耿耿地利用牠們的厚皮堅甲和強韌的體魄來保護同伴。,537,0,1,1,0,32,132121,0,0,0,0
災虐,災虐,"掌控毀滅性的魔化能量，並且能夠靈活揮舞戰刃的高手。
慣用武器：戰刃、劍、斧、拳套",577,12,0,0,2,68,1247264,3,364,185164,0
復仇,復仇,"運用體內的惡魔能量焚燒敵人，保護同伴。

慣用武器：戰刃、劍、斧、拳套",581,12,1,0,0,4,1247265,3,364,203747,0
初始,初始,,1444,7,4,0,2,3,136048,0,369,0,0
初始,初始,,1446,1,4,0,2,68,132355,5,0,0,0
初始,初始,,1447,11,4,0,2,331,136096,0,363,0,0
初始,初始,,1448,3,4,0,2,66,461112,2,0,0,0
初始,初始,,1449,8,4,0,2,67,135846,0,362,0,0
初始,初始,,1450,10,4,0,2,68,608953,2,618,0,0
初始,初始,,1451,2,4,0,2,68,135873,5,0,0,0
初始,初始,,1452,5,4,0,1,67,135940,0,353,0,0
初始,初始,,1453,4,4,0,2,68,236270,3,0,0,0
初始,初始,,1454,9,4,0,2,67,136145,0,357,0,0
初始,初始,,1455,6,4,0,2,68,135775,5,0,0,0
初始,初始,,1456,12,4,0,2,68,1247264,3,364,0,0
初始,初始,,1465,13,4,0,2,3,4574311,0,0,0,0
破滅,破滅,"釋放與生俱來的力量，以混沌晶紅烈焰或集束蒼藍魔法，在戰場各處留下毀滅後的痕跡。
慣用武器：法杖、劍、匕首、錘",1467,13,0,0,2,67,4511811,0,0,362980,0
護存,護存,"呼喚翡翠夢境的力量來進行治癒，並藉由青銅龍的時間之沙來避免受到傷害。
慣用武器：法杖、劍、匕首、錘",1468,13,1,0,1,3,4511812,0,0,363510,0
強化,強化,"將黑龍之力注入盟友體內，並運用青銅龍魔法，使其獲得時間與命運的青睞。

慣用武器：法杖、劍、匕首、錘",1473,13,2,0,2,3,5198700,0,0,406380,0
冒險者,冒險者,,1478,14,4,0,2,2,2055034,4,0,0,0
