Name_lang,ID,SecondaryID,Flags,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex,AddedInPatch
膚色,105,103,80,18,2,2,0,0,1,0,1,90001
臉型,106,104,128,18,1,2,0,0,2,0,2,90001
髮型,107,105,0,18,3,2,0,0,3,0,3,90001
髮色,108,106,2,18,4,2,0,0,4,0,4,90001
耳朵,109,107,0,18,10,3,0,0,20,0,10,90001
膚色,110,108,80,19,2,2,0,0,1,0,1,90001
臉型,111,109,128,19,1,2,0,0,2,0,2,90001
髮型,112,110,0,19,3,2,0,0,3,0,3,90001
髮色,113,111,2,19,4,2,0,0,4,0,4,90001
鬍鬚,114,112,0,19,5,2,0,0,5,0,5,90001
刺青顏色,116,114,11,19,12,5,0,0,35,0,12,90001
犄角造型,117,115,8,19,8,2,0,0,7,0,8,90001
眼罩,118,116,8,19,9,2,0,0,8,0,9,90001
膚色,119,117,80,20,2,2,0,0,1,0,1,90001
臉型,120,118,128,20,1,2,0,0,2,0,2,90001
髮型,121,119,0,20,3,2,0,0,3,0,3,90001
髮色,122,120,2,20,4,2,0,0,4,0,4,90001
耳飾,123,121,72,20,12,3,0,0,21,0,12,90001
刺青顏色,125,123,11,20,24,5,0,0,35,0,24,90001
犄角造型,126,124,8,20,5,2,0,0,7,0,5,90001
眼罩,127,125,8,20,7,2,0,0,8,0,8,90001
膚色,128,126,80,21,2,2,0,0,1,0,1,90001
臉型,129,127,128,21,1,2,0,0,2,0,2,90001
髮型,130,128,0,21,3,2,0,0,3,0,3,90001
髮色,131,129,2,21,4,2,0,0,4,0,4,90001
鬍鬚,132,130,0,21,5,2,0,0,5,0,5,90001
膚色,133,131,80,22,2,2,0,0,1,0,1,90001
臉型,134,132,128,22,1,2,0,0,2,0,2,90001
髮型,135,133,0,22,3,2,0,0,3,0,3,90001
髮色,136,134,2,22,4,2,0,0,4,0,4,90001
犄角造型,137,135,0,22,5,2,0,0,23,0,5,90001
膚色,138,136,18,23,1,2,0,0,1,0,1,90001
臉型,139,137,0,23,2,2,0,0,2,0,2,90001
髮型,140,138,0,23,3,4,0,0,3,0,3,90001
髮色,141,139,2,23,4,4,0,0,4,0,4,90001
髮型,142,140,0,24,1,4,0,0,3,0,1,90001
髮色,143,141,2,24,2,4,0,0,4,0,2,90001
膚色,144,142,18,25,1,2,0,0,1,0,1,90001
髮型,145,143,0,25,2,4,0,0,3,0,2,90001
髮色,146,144,2,25,3,4,0,0,4,0,3,90001
膚色,147,145,18,26,1,2,0,0,1,0,1,90001
髮型,148,146,0,26,2,4,0,0,3,0,2,90001
髮色,149,147,2,26,3,4,0,0,4,0,3,90001
膚色,150,148,18,27,1,2,0,0,1,0,1,90001
臉型,151,149,0,27,2,2,0,0,2,0,2,90001
髮型,152,150,0,27,3,4,0,0,3,0,3,90001
髮色,153,151,2,27,4,4,0,0,4,0,4,90001
髮型,154,152,0,28,1,4,0,0,3,0,1,90001
髮色,155,153,2,28,2,4,0,0,4,0,2,90001
膚色,156,154,18,29,1,2,0,0,1,0,1,90001
臉型,157,155,0,29,2,2,0,0,2,0,2,90001
髮型,158,156,0,29,3,4,0,0,3,0,3,90001
髮色,159,157,2,29,4,4,0,0,4,0,4,90001
髮型,160,158,0,30,1,4,0,0,3,0,1,90001
髮色,161,159,2,30,2,4,0,0,4,0,2,90001
膚色,162,160,18,31,1,2,0,0,1,0,1,90001
臉型,163,161,0,31,2,2,0,0,2,0,2,90001
髮型,164,162,0,31,3,4,0,0,3,0,3,90001
髮色,165,163,2,31,4,4,0,0,4,0,4,90001
鬍鬚,166,164,0,31,5,4,0,0,5,0,5,90001
髮型,167,165,0,32,1,4,0,0,3,0,1,90001
髮色,168,166,2,32,2,4,0,0,4,0,2,90001
膚色,169,167,18,33,1,2,0,0,1,0,1,90001
臉型,170,168,0,33,2,2,0,0,2,0,2,90001
髮型,171,169,0,33,3,4,0,0,3,0,3,90001
髮色,172,170,2,33,4,4,0,0,4,0,4,90001
鬍鬚,173,171,0,33,5,4,0,0,5,0,5,90001
髮型,174,172,0,34,1,4,0,0,3,0,1,90001
髮色,175,173,2,34,2,4,0,0,4,0,2,90001
膚色,176,174,18,35,1,2,0,0,1,0,1,90001
臉型,177,175,0,35,2,2,0,0,2,0,2,90001
髮型,178,176,0,35,3,4,0,0,3,0,3,90001
髮色,179,177,2,35,4,4,0,0,4,0,4,90001
鬍鬚,180,178,0,35,5,4,0,0,5,0,5,90001
髮型,181,179,0,36,1,4,0,0,3,0,1,90001
髮色,182,180,2,36,2,4,0,0,4,0,2,90001
膚色,183,181,18,37,1,2,0,0,1,0,1,90001
臉型,184,182,0,37,2,2,0,0,2,0,2,90001
髮型,185,183,0,37,3,4,0,0,3,0,3,90001
髮色,186,184,2,37,4,4,0,0,4,0,4,90001
鬍鬚,187,185,0,37,5,4,0,0,5,0,5,90001
髮型,188,186,0,38,1,4,0,0,3,0,1,90001
髮色,189,187,2,38,2,4,0,0,4,0,2,90001
膚色,190,188,18,39,1,2,0,0,1,0,1,90001
髮型,191,189,0,39,2,4,0,0,3,0,2,90001
髮色,192,190,2,39,3,4,0,0,4,0,3,90001
鬍鬚,193,191,0,39,4,4,0,0,5,0,4,90001
髮型,194,192,0,40,2,4,0,0,3,0,2,90001
髮色,195,193,2,40,3,4,0,0,4,0,3,90001
膚色,196,194,16,41,1,2,0,0,1,0,1,90001
臉型,197,195,0,41,2,2,0,0,2,0,2,90001
髮型,198,196,0,41,3,4,0,0,3,0,3,90001
髮色,199,197,2,41,4,4,0,0,4,0,4,90001
鬍鬚,200,198,0,41,5,4,0,0,5,0,5,90001
髮型,201,199,0,42,1,4,0,0,3,0,1,90001
髮色,202,200,2,42,2,4,0,0,4,0,2,90001
毛色,203,201,66,43,2,20,0,0,1,0,1,90001
臉型,204,202,128,43,1,20,0,0,2,0,2,90001
髮型,205,203,0,43,3,20,0,0,3,0,3,90001
鬍鬚,207,205,0,43,4,20,0,0,5,0,4,90001
毛色,208,206,66,44,2,20,0,0,1,0,1,90001
臉型,209,207,128,44,1,20,0,0,2,0,2,90001
髮型,210,208,0,44,3,20,0,0,3,0,3,90001
耳朵,212,210,8,44,5,20,0,0,22,0,5,90001
膚色,213,211,18,45,2,2,0,0,1,0,2,90001
臉型,214,212,0,45,1,2,0,0,2,0,1,90001
髮型,215,213,0,45,3,2,0,0,3,0,3,90001
髮色,216,214,2,45,4,2,0,0,4,0,4,90001
鬍鬚,217,215,0,45,5,2,0,0,5,0,5,90001
膚色,218,216,18,46,2,2,0,0,1,0,2,90001
臉型,219,217,0,46,1,2,0,0,2,0,1,90001
髮型,220,218,0,46,3,2,0,0,3,0,3,90001
髮色,221,219,2,46,4,2,0,0,4,0,4,90001
髮型,230,227,8,48,3,14,0,0,3,0,3,90001
髮色,231,228,2,48,4,14,0,0,4,0,4,90001
耳環,232,229,8,48,6,14,0,0,26,0,7,90001
膚色,233,230,16,53,2,2,0,0,1,0,1,90001
臉型,234,231,0,53,1,2,0,0,2,0,2,90001
髮型,235,232,0,53,3,2,0,0,3,0,3,90001
髮色,236,233,2,53,4,2,0,0,4,0,4,90001
耳飾,237,234,8,53,5,3,0,0,44,0,22,90001
膚色,239,236,16,54,2,2,0,0,1,0,1,90001
臉型,240,237,0,54,1,2,0,0,2,0,2,90001
髮型,241,238,0,54,3,2,0,0,3,0,3,90001
髮色,242,239,2,54,4,2,0,0,4,0,4,90001
耳飾,243,240,8,54,5,3,0,0,43,0,22,90001
犄角風格,247,244,0,55,3,3,0,0,39,0,19,90001
犄角刻紋,248,245,2,55,4,3,1,0,40,0,21,90001
犄角風格,254,250,0,56,5,3,0,0,39,0,20,90001
犄角刻紋,255,251,2,56,6,3,1,0,40,0,22,90001
頭髮,256,252,0,56,3,2,0,0,38,0,4,90001
膚色,259,254,80,57,2,2,0,0,1,0,1,90001
臉型,260,255,128,57,1,2,0,0,2,0,2,90001
髮型,261,256,0,57,3,2,0,0,3,0,3,90001
髮色,262,257,2,57,4,2,0,0,4,0,4,90001
鬍鬚,263,258,0,57,5,2,0,0,5,0,5,90001
膚色,264,259,80,58,2,2,0,0,1,0,1,90001
臉型,265,260,128,58,1,2,0,0,2,0,2,90001
髮型,266,261,0,58,3,2,0,0,3,0,3,90001
髮色,267,262,2,58,4,2,0,0,4,0,4,90001
耳環,268,263,8,58,6,2,0,0,41,0,7,90001
膚色,269,264,16,59,2,2,0,0,1,0,1,90001
臉型,270,265,0,59,1,2,0,0,2,0,2,90001
髮型,271,266,0,59,3,2,0,0,3,0,3,90001
髮色,272,267,2,59,4,2,0,0,4,0,4,90001
鬍鬚,273,268,0,59,5,2,0,0,5,0,5,90001
符文,275,270,8,59,8,2,0,0,25,0,6,90001
膚色,276,271,16,60,2,2,0,0,1,0,1,90001
臉型,277,272,0,60,1,2,0,0,2,0,2,90001
髮型,278,273,0,60,3,2,0,0,3,0,3,90001
髮色,279,274,2,60,4,2,0,0,4,0,4,90001
犄角造型,280,275,0,60,5,2,0,0,24,0,5,90001
符文,282,277,8,60,7,3,0,0,25,0,21,90001
膚色,283,278,16,61,2,2,0,0,1,0,1,90001
臉型,284,279,0,61,1,2,0,0,2,0,2,90001
髮型,285,280,0,61,3,2,0,0,3,0,3,90001
髮色,286,281,2,61,4,2,0,0,4,0,4,90001
獠牙,288,283,0,61,6,2,0,0,29,0,10,90001
穿洞飾品,289,284,8,61,7,3,0,0,30,0,20,90001
膚色,290,285,16,62,2,2,0,0,1,0,1,90001
臉型,291,286,0,62,1,2,0,0,2,0,2,90001
髮型,292,287,0,62,3,2,0,0,3,0,3,90001
髮色,293,288,2,62,4,2,0,0,4,0,4,90001
耳擴,294,289,8,62,11,3,0,0,30,0,11,90001
獠牙,296,291,0,62,5,2,0,0,29,0,8,90001
耳環,297,292,8,62,10,3,1,0,31,0,10,90001
膚色,298,293,16,63,2,2,0,0,1,0,1,90001
臉型,299,294,0,63,1,2,0,0,2,0,2,90001
髮型,300,295,0,63,3,2,0,0,3,0,3,90001
髮色,301,296,2,63,4,2,0,0,4,0,4,90001
鬍子,302,297,8,63,6,2,0,0,5,0,6,90001
膚色,303,298,16,64,2,2,0,0,1,0,1,90001
臉型,304,299,0,64,1,2,0,0,2,0,2,90001
髮型,305,300,0,64,3,2,0,0,3,0,3,90001
髮色,306,301,2,64,4,2,0,0,4,0,4,90001
耳環,308,303,8,64,6,23,0,0,155,0,7,90001
項鍊,309,304,8,64,7,23,0,0,156,0,8,90001
膚色,310,305,18,65,1,2,0,0,1,0,1,90001
臉型,311,306,0,65,2,2,0,0,2,0,2,90001
髮型,312,307,0,65,3,4,0,0,3,0,3,90001
髮色,313,308,2,65,4,4,0,0,4,0,4,90001
鬍鬚,314,309,0,65,5,4,0,0,5,0,5,90001
膚色,315,310,18,66,1,2,0,0,1,0,1,90001
髮色,316,311,2,66,2,4,0,0,4,0,2,90001
鬍鬚,317,312,0,66,3,4,0,0,5,0,3,90001
膚色,318,313,16,67,2,16,0,0,1,0,1,90001
臉型,319,314,0,67,1,16,0,0,2,0,2,90001
髮型,320,315,0,67,3,16,0,0,3,0,3,90001
髮色,321,316,2,67,4,16,0,0,4,0,4,90001
鬍鬚,322,317,0,67,5,16,0,0,5,0,5,90001
刺青,324,319,8,67,6,16,0,0,47,0,6,90001
膚色,325,320,16,68,2,2,0,0,1,0,1,90001
臉型,326,321,0,68,1,2,0,0,2,0,2,90001
髮型,327,322,0,68,3,2,0,0,3,0,3,90001
髮色,328,323,2,68,4,2,0,0,4,0,4,90001
毛色,331,326,16,69,2,2,0,0,162,0,1,90001
耳朵,336,329,8,69,4,2,0,0,161,0,4,90001
口鼻,338,331,8,69,6,2,0,0,160,0,6,90001
毛色,339,332,16,70,2,2,0,0,162,0,1,90001
耳朵,344,335,8,70,4,2,0,0,161,0,4,90001
口鼻,346,337,8,70,6,2,0,0,160,0,6,90001
膚色,347,338,16,71,2,15,0,0,50,0,1,90001
髮型,350,340,0,71,3,15,0,0,3,0,3,90001
髮色,351,341,2,71,4,15,0,0,4,0,4,90001
鬍子,352,342,0,71,5,15,0,0,5,0,5,90001
體態前傾,353,343,40,71,30,1,1,0,49,0,30,90001
膚色,354,344,16,72,2,15,0,0,50,0,1,90001
髮型,357,346,0,72,3,15,0,0,3,0,3,90001
髮色,358,347,2,72,4,15,0,0,4,0,4,90001
膚色,360,349,80,73,2,2,0,0,1,0,1,90001
臉型,361,350,128,73,1,2,0,0,2,0,2,90001
髮型,362,351,0,73,3,2,0,0,3,0,3,90001
髮色,363,352,2,73,4,2,0,0,4,0,4,90001
鬍鬚,364,353,0,73,5,2,0,0,5,0,5,90001
手臂升級,366,355,0,73,10,1,0,0,157,0,10,90001
腿部升級,367,356,0,73,11,1,1,0,158,0,11,90001
膚色,368,357,80,74,2,2,0,0,1,0,1,90001
臉型,369,358,128,74,1,2,0,0,2,0,2,90001
髮型,370,359,0,74,3,2,0,0,3,0,3,90001
髮色,371,360,2,74,4,2,0,0,4,0,4,90001
手臂升級,374,362,0,74,10,1,0,0,157,0,10,90001
腿部升級,375,363,0,74,11,1,1,0,158,0,11,90001
刺青,376,45,41,7,31,5,0,0,6,0,31,90001
刺青,377,54,41,8,23,5,0,0,6,0,23,90001
臉型,378,69,128,11,1,18,0,0,177,0,2,90001
臉型,379,74,128,12,1,18,0,0,177,0,2,90001
刺青,380,113,9,19,11,5,0,0,34,0,11,90001
刺青,381,122,9,20,23,5,0,0,34,0,23,90001
穿洞飾品,382,220,8,46,5,3,0,0,180,0,5,90001
膚色,383,221,16,47,2,14,0,0,171,0,1,90001
臉型,384,222,0,47,1,14,0,0,179,0,2,90001
髮型,385,223,0,47,3,14,0,0,173,0,3,90001
鬍子,386,224,0,47,5,14,0,0,172,0,5,90001
膚色,387,225,16,48,2,14,0,0,171,0,1,90001
臉型,388,226,0,48,1,14,0,0,179,0,2,90001
身體刺青,389,235,9,53,6,1,0,0,42,0,30,90001
身體刺青,390,241,9,54,6,1,0,0,42,0,30,90001
膚色,391,242,16,55,2,2,0,0,169,0,1,90001
臉型,392,243,0,55,1,2,0,0,178,0,2,90001
鬍子,393,246,0,55,5,2,0,0,170,0,6,90001
身體彩繪顏色,394,247,11,55,9,1,0,0,37,0,31,90001
膚色,395,248,16,56,2,2,0,0,169,0,1,90001
臉型,396,249,0,56,1,2,0,0,178,0,2,90001
身體彩繪顏色,397,253,11,56,10,1,0,0,37,0,31,90001
刺青,398,269,9,59,6,1,0,0,36,0,30,90001
刺青,399,276,9,60,6,1,0,0,36,0,30,90001
刺青,400,282,9,61,5,5,0,0,32,0,5,90001
刺青,401,290,9,62,20,5,0,0,32,0,20,90001
穿洞飾品,403,318,8,67,7,16,0,0,52,0,7,90001
穿洞飾品,404,324,8,68,6,2,0,0,167,0,6,90001
刺青,405,325,8,68,5,2,0,0,48,0,5,90001
臉型,406,327,0,69,1,2,0,0,176,0,2,90001
髮型,407,328,0,69,3,2,0,0,174,0,3,90001
斑紋,408,330,9,69,20,1,0,0,153,0,20,90001
臉型,409,333,0,70,1,2,0,0,176,0,2,90001
髮型,410,334,0,70,3,2,0,0,174,0,3,90001
斑紋,411,336,9,70,5,1,0,0,153,0,5,90001
臉型,412,339,0,71,1,15,0,0,175,0,2,90001
臉型,413,345,0,72,1,15,0,0,175,0,2,90001
耳環,414,348,8,72,6,34,0,0,166,0,20,90001
改裝套件,415,354,0,73,6,2,0,0,159,0,6,90001
改裝套件,416,361,0,74,5,2,0,0,159,0,5,90001
眼睛顏色,463,364,2,1,11,3,0,0,2,0,11,90001
眼睛顏色,464,365,2,2,5,2,0,0,2,0,8,90001
穿洞飾品,501,366,8,2,6,3,0,0,10,0,11,90001
項鍊,510,367,8,2,7,3,0,0,10,0,12,90001
妝彩,516,368,40,2,8,3,0,0,2,0,10,90001
面容,525,369,0,1,8,2,0,0,2,0,3,90001
面容,526,370,0,2,9,2,0,0,2,0,7,90001
眼睛顏色,534,371,2,9,8,13,0,0,5,0,8,90001
眼睛顏色,535,372,2,10,8,13,0,0,5,0,8,90001
眼睛顏色,544,373,2,5,7,16,0,0,2,0,7,90001
眼睛顏色,545,374,2,6,6,2,0,0,2,0,5,90001
眼睛顏色,548,375,2,13,8,2,0,0,2,0,8,90001
眼睛顏色,549,376,2,14,5,2,0,0,2,0,5,90001
眼睛顏色,552,377,2,17,6,2,0,0,2,0,6,90001
眼睛顏色,553,378,2,18,6,2,0,0,2,0,6,90001
面部特徵,559,382,32,10,6,13,0,0,14,0,6,90001
面部特徵,563,386,32,9,7,13,0,0,14,0,7,90001
皮膚狀況,567,389,0,9,2,13,0,0,1,0,2,90001
皮膚狀況,568,390,0,10,2,13,0,0,1,0,2,90001
眼睛顏色,571,391,66,19,13,2,0,0,2,0,13,90001
眼睛顏色,572,392,66,20,6,2,0,0,2,0,6,90001
項鍊,575,394,8,20,13,3,0,0,5,0,13,90001
眼睛顏色,578,395,66,57,6,2,0,0,2,0,6,90001
眼睛顏色,579,396,66,58,5,2,0,0,2,0,5,90001
耳朵,582,397,8,19,6,2,0,0,1,0,6,90001
耳朵,583,398,8,20,11,3,0,0,1,0,11,90001
次要膚色,585,399,0,57,7,1,0,0,1,0,8,90001
次要髮色,586,400,0,57,8,1,0,0,4,0,9,90001
次要膚色,588,401,0,58,7,1,0,0,1,0,8,90001
次要髮色,589,402,0,58,8,1,0,0,4,0,9,90001
耳環,600,405,8,5,10,17,0,0,5,0,10,90001
耳飾,601,406,72,6,7,2,0,0,5,0,7,90001
鼻環,604,407,8,5,11,17,0,0,5,0,11,90001
穿洞飾品,605,408,8,6,8,2,0,0,5,0,8,90001
刺青顏色,607,409,10,6,10,5,0,0,1,0,11,90001
刺青,608,410,40,6,9,5,0,0,1,0,10,90001
刺青顏色,610,411,10,5,21,5,0,0,1,0,21,90001
刺青,611,412,40,5,20,5,0,0,1,0,20,90001
眼睛顏色,614,413,2,67,8,16,0,0,2,0,8,90001
眼睛顏色,615,414,2,68,7,2,0,0,2,0,7,90001
眼睛顏色,618,415,2,21,6,2,0,0,2,0,6,90001
眼睛顏色,619,416,2,22,6,2,0,0,2,0,6,90001
眼睛顏色,622,417,2,43,6,20,0,0,2,0,6,90001
眼睛顏色,623,418,2,44,6,20,0,0,2,0,6,90001
手鐲,631,425,9,20,27,5,0,0,5,0,27,90001
眼睛顏色,646,438,2,11,10,19,0,0,2,0,10,90001
眼睛顏色,647,439,2,12,7,18,0,0,2,0,7,90001
耳環,649,440,8,12,12,19,0,0,5,0,12,90001
項鍊,651,441,8,12,14,19,0,0,5,0,14,90001
項鍊,653,442,8,11,14,19,0,0,5,0,15,90001
頭飾,655,443,40,12,11,19,0,0,5,0,11,90001
頭飾,657,444,40,11,12,19,0,0,5,0,13,90001
鼻環,659,445,8,12,13,19,0,0,5,0,13,90001
鼻環,661,446,8,11,13,19,0,0,5,0,14,90001
身體彩繪,662,447,8,12,20,5,0,0,1,0,20,90001
身體彩繪,663,448,8,11,20,5,0,0,1,0,20,90001
面部彩繪,666,451,40,12,10,19,0,0,1,0,10,90001
面部彩繪,667,452,40,11,11,19,0,0,1,0,12,90001
彩繪顏色,668,453,10,12,21,5,0,0,1,0,21,90001
彩繪顏色,669,454,10,11,21,5,0,0,1,0,21,90001
頭髮,671,455,0,11,6,18,0,0,164,0,6,90001
前額鬃毛,672,456,32,11,5,18,0,0,164,0,5,90001
前額鬃毛,673,457,32,12,5,18,0,0,15,0,5,90001
耳朵,675,458,8,43,5,20,0,0,5,0,5,90001
眼睛顏色,682,459,66,7,24,23,0,0,2,0,12,90001
眼睛顏色,683,460,66,8,12,23,0,0,2,0,12,90001
眼睛顏色,686,461,2,63,7,2,0,0,2,0,7,90001
眼睛顏色,687,462,2,64,5,2,0,0,2,0,5,90001
尾巴,689,463,8,22,20,1,0,0,1,0,20,90001
尾巴,691,464,0,21,20,1,0,0,1,0,20,90001
觸鬚,695,465,0,21,10,3,0,0,5,0,10,90001
觸鬚,697,466,0,22,10,2,0,0,5,0,8,90001
頭環,699,467,40,22,8,2,1,0,5,0,9,90001
髮飾,701,468,8,22,9,2,0,0,5,0,10,90001
頭環,703,469,40,21,7,2,1,0,5,0,8,90001
犄角飾品,705,470,8,21,8,2,0,0,5,0,9,90001
上唇鬍髭,706,471,0,63,5,2,0,0,5,0,5,90001
耳環,708,472,8,8,16,3,0,0,5,0,17,90001
項鍊,710,473,8,8,18,3,0,0,5,0,19,90001
鼻環,712,474,8,8,17,3,0,0,5,0,18,90001
頭飾,714,475,40,8,15,3,0,0,5,0,16,90001
枝葉,724,476,40,8,5,2,1,0,5,0,5,90001
枝葉顏色,726,477,10,8,6,2,0,0,5,0,6,90001
枝葉,728,478,40,7,25,3,1,0,5,0,26,90001
枝葉顏色,730,479,10,7,26,3,0,0,5,0,27,90001
耳朵,732,480,0,8,8,2,0,0,1,0,8,90001
耳朵,734,481,0,7,22,23,0,0,1,0,14,90001
眉毛,736,482,0,8,7,23,0,0,1,0,9,90001
眉毛,738,483,0,7,21,23,0,0,5,0,10,90001
鬢角,739,484,0,7,5,2,0,0,5,0,5,90001
上唇鬍髭,740,485,0,7,6,2,0,0,5,0,6,90001
疤痕,742,486,40,7,23,3,0,0,1,0,23,90001
疤痕,744,487,40,8,11,23,0,0,1,0,16,90001
面紋顏色,745,488,10,8,14,23,0,0,4,0,15,90001
眼睛顏色,747,489,2,47,7,14,0,0,2,0,7,90001
眼睛顏色,750,491,2,48,5,14,0,0,2,0,5,90001
尾巴,751,492,0,48,7,1,0,0,171,0,8,90001
上唇鬍髭,752,493,0,47,4,14,0,0,172,0,4,90001
眉毛,753,494,0,47,6,14,0,0,172,0,6,90001
眼睛顏色,756,495,2,15,6,2,0,0,2,0,6,90001
眼睛顏色,757,496,2,16,6,2,0,0,2,0,6,90001
穿洞飾品,759,497,8,16,13,3,0,0,5,0,13,90001
