ID,Description_lang,OrderIndex,ProfTraitTreeID
90,製作具備獨特加成的護甲，例如藍龍襯肩。,1,162
91,製造魚餌，鎖定特定的魚。,1,144
92,製作烈焰之擁鎖甲。,0,124
93,製作藍織布和時織布護甲，兩款各自具備獨特的套裝加成。,0,162
94,製作命縛皮甲。,0,126
95,製作採礦和鍛造工具。,1,102
96,製作洪荒熔火武器。,0,102
97,製作雕銘師的璀璨羽毛筆。,0,148
98,製作層列勳章鑲嵌裝置，可用來在項鍊上新增插槽。,0,131
99,製作鮮亮荒紋布護甲。,0,164
100,製造大家都能用的幻象商品。,2,245
101,製造任何人都能使用的安全炸彈。,3,204
102,製造快速節流吸魂器，這是用來採集珍貴材料的重要裝置。,3,207
103,找到神秘物品，分解後可獲得材料和喚醒元素。,0,244
104,在分解稀有布料時找到喚醒元素。,0,161
105,在騎乘坐騎時採集草藥。,0,235
106,從元素礦床採集更多喚醒元素。,1,213
107,從元素草藥採集更多喚醒元素。,1,234
108,在騎乘坐騎時採集礦點。,0,211
109,粉碎覺醒元素，進入突發戰鬥並獲得製作加成。,3,244
110,粉碎附魔材料，將其變成次一級的材料。,2,244
111,書寫龍族概論，向讀者傳授專業技能知識。,3,176
112,精通製作石製強化商品，例如洪荒磨石和平衡石。,2,103
113,精通製作提供套裝加成的裝備。,1,134
114,精通製作墨水，這是雕銘師使用的主要材料。,2,147
115,精通製作附魔布甲。,2,162
116,精通製作專業技能配件和鼓。,2,135
117,精通製造基礎、額外和最後加工材料。,1,59
118,提高將草藥研磨成顏料的製造技能和效率。,1,147
119,在製造護甲片和材料時，提高製造技能。,1,135
120,每次採礦時，縮短超載元素礦床的冷卻時間。,0,213
121,每次採集時，縮短超載元素草藥的冷卻時間。,0,234
122,提高對炸彈的處理能力，降低在佈署時反被炸彈炸傷的機率。,2,204
123,降低採集元素礦床時受到的負面副作用。,2,213
124,降低採集元素草藥時受到的負面副作用。,2,234
125,將低品級草藥精煉成高品級草藥。,1,236
126,將低品級礦石精煉成高品級礦石。,1,212
127,將低品級材料精煉成高品級材料。,1,143
128,提高裝置的可靠性，降低佈署時發生意外的機率。,3,206
129,在採礦時，偶爾會找到稀有寶石或無限鑽石。,1,211
130,在製作藥瓶時，提高複數製造和複數製造效果。,2,84
131,在大量製造藥水時獲得強化。,2,58
132,專精於製造遠程武器專用的瞄準鏡和彈藥。,2,205
145,在採集草藥時，提高你的純熟、技法和感知。,2,257
146,在聖落之地的巴雷達爾的恩惠學會種植和培植種子。,1,257
147,在騎乘坐騎時採集草藥。,0,257
148,在採集強化草藥時，提高你的技法和感知。,2,258
149,降低採集強化草藥時的負作用，並獲得額外正面效果。,1,258
150,在採集時，縮短超載強化草藥的冷卻時間。,0,258
151,從其他來源採集稀有又難以捉摸的空無蓮花。,3,259
152,學習精煉草藥，提高其品級。,2,259
153,在採集草藥時，提高技法的效果。,1,259
154,在採集草藥時，提高技能。,0,259
192,在剝皮時，提高你的純熟、技法和感知。,3,271
193,製作用來瞄準特定魚種的釣餌。,2,271
194,從被剝皮的生物身上收集額外的稀有材料。,1,271
195,從被剝皮的生物身上收集用來烹飪的肉。,0,271
196,在剝皮時，提高你的純熟、技法和感知。,2,272
197,將在卡茲阿爾加各地找到的強化能量注入誘餌，可讓你收集到額外的材料。,1,272
198,製作誘餌，引來剝皮時可產出稀有材料的生物。,0,272
199,將低品級材料精煉成高品級材料。,2,273
200,在剝皮時，提高你的技能。,1,273
201,學習如何打磨你的小刀，剝皮時保證能獲得皮革。,0,273
243,在製作護甲片和其他消耗品時，可獲得額外的技能與精明。,2,287
244,學習如何製作擁有各種效果的裝飾。,1,287
245,提升你製作專業技能裝備的能力。,0,287
249,提升你同時製作複數消耗品和材料的能力。,2,289
250,當你啟用精明時，強化你節省材料的能力。,1,289
251,提高所有圖樣的專注力和精妙效果。,0,289
252,在製作皮甲時，提高你的精妙、精明和技能。,2,290
253,使用額外材料和最後加工材料自訂你製作的皮甲。,1,290
254,學會製作符文烙印皮甲。,0,290
255,在製作鎖甲時，提高你的精妙、精明和技能。,2,291
256,使用額外材料和最後加工材料自訂你製作的鎖甲。,1,291
257,學會製作雕紋蝕刻鎖甲。,0,291
279,在製作珠寶時，獲得技能、精明和專注的消耗減免。,3,298
280,提升你製作專業技能飾品的能力。,2,298
281,使用額外材料自訂珠寶。,1,298
282,學習如何製作強力的項鍊和戒指設計圖。,0,298
295,製作內含未切割寶石的稜鏡。,3,302
296,在切割寶石時，獲得額外技能。,2,302
297,在切割寶石時保留最後加工材料裂片，往後切割寶石時可提高技能。,1,302
298,學會如何使用最後加工材料來強化自己的寶石切割能力。,0,302
299,在製作材料時，獲得額外技能和精明。,2,303
300,提升勘探時找到寶石和材料的能力。,1,303
301,學習如何製作各種額外材料，如元素聚焦鏡片。,0,303
334,在製作精煉藥劑和藥瓶時，獲得溢出。,3,312
335,在製作精煉藥劑和藥瓶時，提高你的複數製造、精明和技能。,2,312
337,學習如何製作精煉藥劑大鍋。,1,312
338,每天製作額外的靈魂綁定精煉藥劑。,0,312
339,使用特定草藥製作配方時，提高你的技能和精妙，並降低專注力消耗。,3,313
340,使用草藥組合製作材料。,2,313
341,提升發現新煉金公式的機率。,1,313
342,使用卡茲阿爾加的草藥進行實驗時，可降低風險並提高增益。,0,313
343,在製作藥水時，提高你的複數製造、精明和技能。,2,314
344,學習如何製作藥水大鍋。,1,314
346,每天製造額外的靈魂綁定召喚藥水。,0,314
347,在施展奇術和轉化時，提高你的精明、技能和額外產量。,2,315
348,製作地心通途催化劑。,1,315
349,在施展奇術和轉化時，獲得額外轉化原。,0,315
350,在製作護甲和盾牌時，獲得額外技能。,3,316
351,提升你使用大師之錘修復裝備的能力。,2,316
352,在製作護甲和盾牌時加入額外和最後加工材料，提高其性能。,1,316
353,學習如何製作史詩鎧甲和盾牌的配方。,0,316
354,獲得額外的永燃點火使用次數，並降低其冷卻速度。,2,317
355,強化永燃點火，可提高更多精妙、複數製造和精明。,1,317
356,學習製作永燃點火，讓你的製作技能強大如火。,0,317
361,在製作武器時，獲得額外技能。,3,320
362,提升你使用大師之錘修復裝備的能力。,2,320
363,在製作武器時加入額外和最後加工材料，提高其性能。,1,320
364,學習如何製作史詩武器的配方。,0,320
367,提升你製作消耗物品的能力，如武器石和框架等。,1,322
368,在製作專業技能裝備時加入額外和最後加工材料，提高其性能。,0,322
369,抽取暗月卡片時獲得眷顧之幸。,2,323
370,製作梵陀符文、合約和書狀時獲得製作速度疊層。,1,323
371,解鎖抽取與製作多種暗月卡片的能力。,0,323
372,製作武器與專業技能裝備時消耗較少的專注。,2,324
373,製作武器與專業技能裝備時獲得更多精明，並提高其效率。,1,324
374,Learn to craft (NYI)T2 Inscription Quill.,0,324
375,獲得大量精妙、複數製造與精明。,1,325
376,學會製作概論，並獲得每週能額外使用一個概論的能力。,0,325
377,研磨或製作材料時獲得額外技能。,1,326
378,提高大量研磨與製作材料的速度。,0,326
379,解鎖分解史詩物品時，有時可獲得魔法精華的能力。,2,327
380,提高分解時獲得風暴之塵與閃爍裂片的數量。,1,327
381,提高分解時產生之附魔材料的品級。,0,327
382,精通消耗品的公式，並提高這些物品的效果。,2,328
383,學會製作強大的魔杖與附魔節杖。,1,328
384,提高你幻象的品級，並延長其持續時間。,0,328
385,完全專精後，降低永久附魔所需的專注值。,2,329
386,學會多種能強化裝備的新公式。,1,329
387,提高永久附魔的品級。,0,329
388,提高消耗品可擁有的複數製造。,2,330
389,提高你專注與精妙的效率。,1,330
390,學會粉碎魔法精華。專精越高，便會獲得暫時性的加成效果。,0,330
391,提高你採礦的速度，這樣你就有時間開採更多了！,3,331
392,強化你開採神秘空無石的能力。,2,331
393,學會精煉配方，讓你能提高小量礦石的品級。,1,331
394,獲得技能提高，讓你在開採專精所選的礦石時，能獲得更高品級的礦石。,0,331
395,採礦時可再開採脫落的礦石，以獲得額外產量。,2,332
396,在卡茲阿爾加開採時，提高你的技法、純熟度與感知。,1,332
397,在騎乘坐騎時能開採礦石。,0,332
398,獲得額外一次超載使用次數。,2,333
399,學會在卡茲阿爾加各處找到不尋常礦藏時能保護自己的能力，並提高你的產量。,1,333
400,採礦時為超載縮短大量冷卻時間。,0,333
401,為強力的套裝裝備灌注晨織與暮織絲線。,3,334
402,每天能製作更多晨織與暮織布匹。,2,334
403,製作能由所有冒險者使用的額外材料。,1,334
404,學會專注在黎明曙光與黃昏暗影的魔法一致性的配方。,0,334
405,為強力的套裝裝備灌注晨織與暮織絲線。,3,335
406,每天能製作更多晨織與暮織布匹。,2,335
407,製作能由所有冒險者使用的額外材料。,1,335
408,學會專注在黎明曙光與黃昏暗影的魔法一致性的配方。,0,335
409,增加額外與最後加工材料來進一步強化聖化裝備。,3,336
410,在製作聖化裝備時，獲得額外技能。,2,336
411,讓你的聖化裝備有更高的物品等級。 ,1,336
412,聖化織者布，使其變成更強力的聖化裝備。,0,336
413,增加額外與最後加工材料來進一步強化聖化裝備。,3,337
414,在製作聖化裝備時，獲得額外技能。,2,337
415,讓你的聖化裝備有更高的物品等級。 ,1,337
416,聖化織者布，使其變成更強力的聖化裝備。,0,337
417,增加額外與最後加工材料來進一步強化聖化裝備。,3,338
418,在製作聖化裝備時，獲得額外技能。,2,338
419,讓你的聖化裝備有更高的物品等級。 ,1,338
420,聖化織者布，使其變成更強力的聖化裝備。,0,338
427,學會如何透過裝飾、書狀與榫輪來強化你的裝備製作。,2,341
428,解鎖新的戰鬥與專業技能裝備結構圖。,1,341
429,製作所有類型裝備時，獲得大幅提高的技能加成。,0,341
430,儘管炸藥看似要爆炸，但你有專精能夠拖延爆炸時間的獨門技巧。,2,342
431,強化你能有效製作技工裝置、炸藥與裝置的能力。,1,342
432,你對於自己的裝置有高度自信，並能夠降低災難性結果的機率。,0,342
433,對碎塊有更「順碎」的心情，讓你獲得更多材料。,2,343
434,提升你發明新道具的能力，並能從錯誤中學習。,1,343
435,大幅強化所有工程學製作的技能。,0,343
440,提高你使用的材料品級，並能提供更完美的裁縫成品。,3,345
441,專精於為多樣製作繡入高品級的最後加工材料。,2,345
442,讓你剪裁與編織最高品級布料的能力更至臻完美。,1,345
443,製作能由所有冒險者使用的法術絲線。,0,345
444,提高複數製造的對所有配方的效果。,3,346
445,提高精明對所有配方的效果。,2,346
446,提高精妙對所有配方的效果。,1,346
447,提高你能在卡茲阿爾加找到的布料數量。,0,346
448,增加額外與最後加工材料來進一步強化聖化裝備。,3,347
449,在製作聖化裝備時，獲得額外技能。,2,347
450,讓你的聖化裝備有更高的物品等級。 ,1,347
451,聖化織者布，使其變成更強力的聖化裝備。,0,347
452,為你的裝備裝飾強大的暗月符印。,2,348
453,強化你製作合約、書狀與梵陀符文的能力。,1,348
454,學會如何在卡茲阿爾加各處抄寫與尋找暗月卡片。,0,348
455,精簡裝備的製作過程以省下更多資源。,2,349
456,製作能在戰鬥中使用的高品級法杖與副手。,1,349
457,專精羽毛筆的使用技巧，並讓其他專業技能工具更加完美。,0,349
458,大幅強化你的製作屬性，包括精妙、精明與複數製造。,2,350
459,每周能從概論汲取更多知識。,1,350
460,成為所有專業技能使用之阿爾加概論的專家。,0,350
461,製作所有銘文學材料時，獲得額外技能。,1,351
462,學會迅速製作大量銘文學材料。,0,351
463,為你的裝備裝飾強大的暗月符印。,2,352
464,強化你製作合約、書狀與梵陀符文的能力。,1,352
465,學會如何在卡茲阿爾加各處抄寫與尋找暗月卡片。,0,352
466,增加額外與最後加工材料來進一步強化聖化裝備。,3,353
467,在製作聖化裝備時，獲得額外技能。,2,353
468,讓你的聖化裝備有更高的物品等級。 ,1,353
469,聖化織者布，使其變成更強力的聖化裝備。,0,353
470,為你的裝備裝飾強大的暗月符印。,2,354
471,強化你製作合約、書狀與梵陀符文的能力。,1,354
472,學會如何在卡茲阿爾加各處抄寫與尋找暗月卡片。,0,354
