Name_lang,ID,Flags,PlayerConditionID,ReagentType,ReagentSource,Field_11_2_0_61476_006,Field_12_0_0_63534_007
賦予PvP物品等級,244,0,0,0,1,0,0
賦予PvP物品等級,245,0,0,0,1,0,0
賦予PvP物品等級,246,0,0,0,1,0,0
火花,247,4,0,0,1,0,0
Shadowed Alloy (DNT),248,0,0,1,0,0,0
去污沙,249,0,0,2,2,0,0
Wildercloth Bandage (DNT),250,0,0,1,0,0,0
插槽,251,0,0,3,3,0,0
插槽,252,0,0,3,3,0,0
Potion of Withering Vitality (DNT),253,0,0,1,0,0,0
競技者徽章,255,4,0,0,1,0,0
火花,256,4,0,0,1,0,0
真菌花,257,0,0,1,0,0,0
誘滴草,258,0,0,1,0,0,0
錐頭草,259,0,0,1,0,0,0
祝綻花,260,0,0,1,0,0,0
阿拉索之矛,261,0,0,1,0,0,0
鉍礦,262,0,0,1,0,0,0
亞基岩,263,0,0,1,0,0,0
鐵爪礦,264,0,0,1,0,0,0
鍍金的瓶子,267,0,0,1,0,0,0
和諧園藝學,268,0,0,1,0,0,0
風暴充能皮革,269,0,0,1,0,0,0
幽影甲殼,270,0,0,1,0,0,0
雷霆毛皮,271,0,0,1,0,0,0
無日甲殼,272,0,0,1,0,0,0
碾碎的寶石,275,0,0,1,0,0,0
紋刻寶石切割器,276,0,0,1,0,0,0
裝飾用鏡片,277,0,0,1,0,0,0
大理石,278,0,0,1,0,0,0
顛倒鏡,279,0,0,1,0,0,0
寶石粉與打磨布,280,2,0,2,0,0,0
添加裝飾,281,0,0,0,1,0,0
增強次要屬性,282,2,0,0,0,0,0
自訂次要屬性,283,2,0,0,0,0,0
灌注力量,284,2,0,0,1,0,0
皮甲,286,2,0,2,2,0,0
鎖甲,287,2,0,2,2,0,0
致命的暗語,288,0,0,1,0,0,0
迅速的暗語,289,0,0,1,0,0,0
精湛的暗語,290,0,0,1,0,0,0
多用途的暗語,291,0,0,1,0,0,0
甲殼襯墊毛皮,293,0,0,1,0,0,0
水晶融合毛皮,294,0,0,1,0,0,0
扭動毛皮,295,0,0,1,0,0,0
孢子包覆毛皮,296,0,0,1,0,0,0
脈能融合毛皮,297,0,0,1,0,0,0
深怒毛皮,298,0,0,1,0,0,0
風觸武器裹布,299,0,0,1,0,0,0
甲殼護甲飾環,300,0,0,1,0,0,0
風暴之塵,301,0,0,1,0,0,0
閃爍裂片,302,0,0,1,0,0,0
輝煌水晶,303,0,0,1,0,0,0
一些鉍礦螺栓,304,0,0,1,0,0,0
古怪接線,305,0,0,1,0,0,0
迴旋齒輪,306,0,0,1,0,0,0
安全開關,307,0,0,1,0,0,0
混沌迴路,308,0,0,1,0,0,0
無序強化器,309,0,0,1,0,0,0
選擇安全材料,311,2,0,0,0,0,0
添加裝飾,312,2,0,0,1,0,0
核心合金,313,0,0,1,0,0,0
充能合金,314,0,0,1,0,0,0
沐聖合金,315,0,0,1,0,0,0
鐵爪礦合金,316,0,0,1,0,0,0
鍛造配件,317,2,0,2,2,0,0
秘密原料,318,0,0,2,2,0,0
編典綠木,319,0,0,1,0,0,0
無盡密文,320,0,0,1,0,0,0
深褐墨水,321,0,0,1,0,0,0
誘滴草顏料,322,0,0,1,0,0,0
日沐墨水,323,0,0,1,0,0,0
日沐顏料,324,0,0,1,0,0,0
暮絲線捲,327,0,0,1,0,0,0
晨絲線捲,328,0,0,1,0,0,0
織者絲線捲,329,0,0,1,0,0,0
暮絲布匹,330,0,0,1,0,0,0
晨絲布匹,331,0,0,1,0,0,0
織者布匹,332,0,0,1,0,0,0
繡線,333,2,0,2,2,0,0
添加裝飾,334,2,0,0,1,0,0
添加裝飾,340,2,0,0,1,0,0
添加裝飾,341,0,0,0,1,0,0
強化,342,0,0,0,1,0,0
自訂採集屬性,344,0,0,0,0,0,0
自訂製作屬性,345,0,0,0,0,0,0
工匠之保證,346,2,0,2,0,0,0
備用零件,347,2,0,2,0,0,0
重生獵豹藥水,348,0,0,1,0,0,0
阿爾加治療藥水,349,0,0,1,0,0,0
穴居者之喜,350,0,0,1,0,0,0
淬煉藥水,351,0,0,1,0,0,0
自訂製作屬性,352,2,0,0,0,0,0
自訂採集屬性,353,2,0,0,0,0,0
工匠之保證,354,0,0,2,0,0,0
錐頭草顏料,355,0,0,1,0,0,0
鮮花顏料,356,0,0,1,0,0,0
精緻織者布匹,357,0,0,1,0,0,0
製作出來的材料,358,2,0,2,2,0,0
繪圖供應商,359,2,0,2,2,0,0
輻光材料,360,0,0,2,0,0,0
神秘的化合物,362,0,0,2,0,0,0
插槽,363,0,0,3,3,0,0
插槽,364,0,0,3,3,0,0
自訂次要屬性,365,0,0,0,0,0,0
灌注力量,366,0,0,0,1,0,0
輻光材料,367,2,0,2,0,0,0
強化,368,0,0,0,1,0,0
鍛造配件,369,2,0,2,2,0,0
繡線,370,2,0,2,2,0,0
繪圖供應商,371,2,0,2,2,0,0
輻光材料,372,0,0,2,0,0,0
輻光材料,374,0,0,2,0,0,0
繡線,375,2,0,2,2,0,0
備用零件,376,2,0,2,0,0,0
繡線,377,2,0,2,2,0,0
附魔與裝備,378,0,0,2,2,0,0
消耗品與材料,379,0,0,2,2,0,0
插槽,380,0,0,3,3,0,0
插槽,381,0,0,3,3,0,0
鍛造配件,382,0,0,2,2,0,0
黑血殘留物,383,0,0,1,0,0,0
進一步強化,384,0,0,0,1,145038,0
鮮亮亞麻布,385,0,0,1,0,0,0
輝煌銅合金,386,0,0,1,0,0,0
工匠之保證,387,0,0,2,0,0,0
工匠之保證,388,2,0,2,0,0,0
添加裝飾,389,2,0,0,1,0,0
添加裝飾,390,2,0,0,1,0,0
添加裝飾,391,2,0,0,0,0,0
灌注力量,392,2,0,0,1,0,0
自訂次要屬性,393,2,0,0,0,0,0
自訂採集屬性,394,2,0,0,0,0,0
自訂製作屬性,395,2,0,0,0,0,0
工匠之保證,396,2,0,2,0,0,0
歌唱齒輪,397,0,0,1,0,0,0
靈魂扣鏈,398,0,0,1,0,0,0
蒼穹飾羽,399,0,0,1,0,0,0
發光匯流,400,0,0,1,0,0,0
火花,401,4,0,0,1,0,0
黎明水晶,402,0,0,1,0,0,0
璀璨裂片,403,0,0,1,0,0,0
永歌之塵,404,0,0,1,0,0,0
凸透鏡之瓶,405,0,0,1,0,0,0
阿曼尼青金石,406,0,0,1,0,0,0
無瑕阿曼尼青金石,407,0,0,1,0,0,0
哈朗達橄欖石,408,0,0,1,0,0,0
血紅石榴石,409,0,0,1,0,0,0
陰暗紫水晶,410,0,0,1,0,0,0
無瑕哈朗達橄欖石,411,0,0,1,0,0,0
無瑕血紅石榴石,412,0,0,1,0,0,0
無瑕陰暗紫水晶,413,0,0,1,0,0,0
微光寶石粉,414,0,0,1,0,0,0
晶化玻璃,415,0,0,1,0,0,0
辛多雷鏡片,416,0,0,1,0,0,0
暮罩石,417,0,0,1,0,0,0
萬花筒稜石,418,0,0,1,0,0,0
虛無淬鍊獸皮,419,0,0,1,0,0,0
虛無淬鍊裝甲,420,0,0,1,0,0,0
虛無淬鍊皮革,421,0,0,1,0,0,0
虛無淬鍊鱗片,422,0,0,1,0,0,0
鱗織獸皮,423,0,0,1,0,0,0
灌能鱗織獸皮,424,0,0,1,0,0,0
銀月武器裹布,425,0,0,1,0,0,0
辛多雷護甲飾環,426,0,0,1,0,0,0
插槽,427,0,0,3,3,0,0
插槽,428,0,0,3,3,0,0
永歌鑽石,429,0,0,1,0,0,0
杜根草,430,0,0,1,0,0,0
血棘,431,0,0,1,0,0,0
寧神花,432,0,0,1,0,0,0
鉑葉草,433,0,0,1,0,0,0
法力百合,434,0,0,1,0,0,0
輝煌銅礦石,435,0,0,1,0,0,0
晦影錫礦石,436,0,0,1,0,0,0
明亮銀礦石,437,0,0,1,0,0,0
猛烈捨棄藥劑,438,0,0,1,0,0,0
啟蒙滋補劑,439,0,0,1,0,0,0
潛能聖水,440,0,0,1,0,0,0
存護聖水,441,0,0,1,0,0,0
至暗之夜治療藥水,442,0,0,1,0,0,0
至暗之夜法力藥水,443,0,0,1,0,0,0
吞噬夢境藥水,444,0,0,1,0,0,0
魯莽藥水,445,0,0,1,0,0,0
狂熱藥水,446,0,0,1,0,0,0
提神藥水,447,0,0,1,0,0,0
虛無環繞酊劑,448,0,0,1,0,0,0
至暗之夜致命一擊精煉藥劑,449,0,0,1,0,0,0
至暗之夜加速精煉藥劑,450,0,0,1,0,0,0
至暗之夜精通精煉藥劑,451,0,0,1,0,0,0
至暗之夜臨機應變精煉藥劑,452,0,0,1,0,0,0
奧紋布,453,0,0,1,0,0,0
奧紋布卷,454,0,0,1,0,0,0
鮮亮亞麻布卷,455,0,0,1,0,0,0
灌能鮮亮亞麻布卷,456,0,0,1,0,0,0
日炎絲綢,457,0,0,1,0,0,0
日炎絲綢卷,458,0,0,1,0,0,0
增強次要屬性,459,2,0,0,0,0,0
額外材料,460,0,0,0,0,0,0
鍊金複合材料,461,0,0,1,0,0,0
編典杜根草,462,0,0,1,0,0,0
孟賽爾墨水,463,0,0,1,0,0,0
赭色墨水,464,0,0,1,0,0,0
靈魂密文,465,0,0,1,0,0,0
薄暮合金,466,0,0,1,0,0,0
純銀合金,467,0,0,1,0,0,0
走私者附魔之鋒,468,0,0,1,0,0,0
強化,469,0,0,0,1,0,0
強化,470,0,0,0,1,0,0
競技者徽章,471,4,0,0,1,0,0
粉末顏料,472,0,0,1,0,0,0
血棘顏料,473,0,0,1,0,0,0
鉑葉草墨水,474,0,0,1,0,0,0
法力百合顏料,475,0,0,1,0,0,0
神奇增效劑,476,0,0,1,0,0,0
巴雷達爾恩典之油,477,0,0,1,0,0,0
暮織布,478,0,0,1,0,0,0
織者布,479,0,0,1,0,0,7
秘密原料,480,0,0,2,2,0,0
沉睡靈魂藥水,481,0,0,1,0,0,0
紅色染料草藥,482,0,0,1,0,0,0
橘色染料草藥,483,0,0,1,0,0,0
黃色染料草藥,484,0,0,1,0,0,0
綠色染料草藥,485,0,0,1,0,0,0
藍色染料草藥,486,0,0,1,0,0,0
青綠色染料草藥,487,0,0,1,0,0,0
紫色染料草藥,488,0,0,1,0,0,0
白色染料草藥,489,0,0,1,0,0,0
黑色染料草藥,490,0,0,1,0,0,0
棕色染料草藥,491,0,0,1,0,0,0
基礎貨幣,492,1,0,0,0,0,0
需要基礎貨幣,493,5,0,0,0,0,0
工匠之保證,495,0,0,2,0,0,0
精明,496,0,0,2,0,0,0
工匠之保證,497,0,0,2,0,0,0
工匠之保證,498,0,0,2,0,0,0
添加裝飾,499,2,0,0,1,0,0
火花,500,4,0,0,1,0,0
添加裝飾,501,2,0,0,1,0,0
添加裝飾,502,2,0,0,1,0,0
秘密原料,504,0,0,2,2,0,0
