Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
聖殿騎士,聖殿騎士會不顧一切地對邪惡之人降下正義制裁。他們還會召下聖光之錘，對敵人打出一連串毀滅性的物理與神聖攻擊。,48,26681,790
光鑄師,光鑄師能嫻熟控制聖光，以至於他們能夠實際運用聖光來創造物體，並藉此強化他們的武器與防禦來保護盟友。,49,26680,790
太陽先驅,太陽先驅與太陽和日能有著深厚的連結，還可利用兩者的力量來燒毀敵人，以及燒灼盟友的傷勢。與聖光全面連結時還能召出強大的日能光束。,50,26702,790
欺詐者,欺詐者加入戰鬥時，那絕對是充滿卑鄙手段與刀光劍影的場面。欺詐者能以誤導或花式劍法來轉移對手的注意力，接著再以出奇不意的攻勢擊倒他們。,51,27018,852
命縛,命縛者身為天命之手，會在縝密安排好的計劃中埋下混亂的種子。藉由擲出命縛硬幣，他們將帶給敵人命中注定、也是他們應得的結局。,52,27433,852
亡靈哨兵,身為死亡的使者，亡靈哨兵會從暗影中出擊，迅速結束目標的生命。,53,27432,852
圖騰師,圖騰師薩滿擅長釋放圖騰的全部力量，強化其圖騰並獲得全新的圖騰效果。他們早已磨練出高超的灌注技巧，來進一步強化他們近距離戰鬥的威脅能力。,54,26703,786
風暴使者,風暴使者能夠駕馭風暴的力量，增強自身對閃電的控制力，隨心所欲對其進行塑造。召喚一場猛烈的暴風雨，讓混亂降臨在喚醒風暴的敵人身上，在你的路徑上造成毀滅性的破壞。,55,26683,786
先知,你將能夠駕馭靈魂魔法、強化施法能力，並在呼喚先祖的靈魂為你助戰時提升你的力量。,56,27019,786
靈魂收割者,雖然只有少數人能掌控蘊藏在靈魂中的力量，但許多人都知道惡魔對死者靈魂共同的渴望。靈魂收割者與來自扭曲虛空的惡魔簽訂契約，成為它們的主人，並用敵人的靈魂供養它們，以換取無與倫比的力量。,57,27530,720
喚魔者,在艾澤拉斯的薩特教團中，喚魔者最令人聞風喪膽。喚魔者術士會以腐化自己的靈魂為代價，藉以操弄最邪惡的暗影魔法與魔化火焰。,58,27746,720
崇魔者,燃燒軍團的落敗讓許多強大的惡魔脫離束縛。崇魔者能夠操控一度被認為無法掌控的強大惡魔，並在戰場上釋出從扭曲虛空汲取的異界力量。,59,26935,720
殺戮者,一名凶狠的戰士會鎖定一個目標，並進行無情追擊，直到對手被一連串攻擊與兵器擊倒為止。,60,26704,850
山脈族長,山脈族長是英勇的鬥士，他們活著就是為了挑戰更強大的對手。他們能從風暴與大地汲取力量，並以雷霆萬鈞的攻勢擊倒敵人。,61,26684,850
巨像,一個身經百戰的精兵可以擺脫大多數致命攻擊，同時使用高超技巧來發動最強力的攻擊，並粉碎敵人。,62,26765,850
天尊引導者,天尊引導者全心全意奉獻自己的一生來體現聖獸天尊的智慧，並駕馭他們的力量。引導者大師們能在頃刻之間引導出所有天尊的力量。,64,27069,1000
影潘,影潘會向先祖學習戰鬥技巧，並能屹立不搖地與敵人正面對決，來保護朋友與家人。他們會等待時機、累積能量，接著再釋放一連串攻擊來壓制對手吧。,65,27070,1000
和諧大師,和諧大師追求的是生理與體格的完美狀態，藉此引導出最純真的力量，並使他們能夠融入真氣的流動與自然循環的力量。,66,27745,1000
風暴使者,風暴使者能夠駕馭風暴的力量，增強自身對閃電的控制力，隨心所欲對其進行塑造。召喚一場猛烈的暴風雨，讓混亂降臨在喚醒風暴的敵人身上，在你的路徑上造成毀滅性的破壞。,70,26683,1033
圖騰師,圖騰師薩滿擅長釋放圖騰的全部力量，強化其圖騰並獲得全新的圖騰效果。他們早已磨練出高超的灌注技巧，來進一步強化他們近距離戰鬥的威脅能力。,71,26703,1033
先知,你將能夠駕馭靈魂魔法、強化施法能力，並在呼喚先祖的靈魂為你助戰時提升你的力量。,72,27019,1033
風暴使者,風暴使者能夠駕馭風暴的力量，增強自身對閃電的控制力，隨心所欲對其進行塑造。召喚一場猛烈的暴風雨，讓混亂降臨在喚醒風暴的敵人身上，在你的路徑上造成毀滅性的破壞。,73,26683,1034
圖騰師,圖騰師薩滿擅長釋放圖騰的全部力量，強化其圖騰並獲得全新的圖騰效果。他們早已磨練出高超的灌注技巧，來進一步強化他們近距離戰鬥的威脅能力。,74,26703,1034
先知,你將能夠駕馭靈魂魔法、強化施法能力，並在呼喚先祖的靈魂為你助戰時提升你的力量。,75,27019,1034
