ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Stalled,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,SortAsNormalQuest,UseMinimalHeader
161,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
162,開場開始,,0,0,5703,5703,0,0,0,0,0,0,0
163,開場開始,,0,0,5703,5703,0,0,0,0,0,0,0
164,跳至第6章,,0,0,5703,5703,0,0,0,0,0,0,0
165,龍鱗遠征隊,（從奧格瑪/暴風城）至低地紮營開場,5468,0,21439,21439,0,0,50,0,108,21439,0
166,雍亞拉平原,平原升級任務,5469,0,21439,21439,0,0,48,0,106,104511,0
167,跳至第5章,,0,0,5703,5703,0,0,0,0,0,0,0
168,跳至第7章,,0,0,5703,5703,0,0,0,0,0,0,0
169,甦醒海岸,低地升級任務,5471,0,21439,21439,0,0,49,0,107,104511,0
173,甦醒吧，半龍人,半龍人喚能師新手區域，區域0，部落,5467,0,99584,96645,99954,0,46,0,1098,0,0
174,蒼藍高地,升級以前往區域3,5466,0,21439,21439,0,0,47,0,105,21439,0
189,薩爪祖斯,升級以前往區域4,5470,0,21439,21439,0,0,51,0,104,104511,0
190,夢旅者,最高等級綠龍區域2,5469,0,21439,21439,0,0,48,0,0,0,34450
191,跳過專業技能教學,,0,0,5703,5703,0,0,0,0,0,0,0
192,白銀之用,提爾劇情戰役篇章1-4，滿級提爾堡區域4,5470,0,122671,122671,122676,0,51,0,1089,0,34450
193,沃卓肯,,5470,0,21439,21439,0,0,51,0,0,0,0
194,伊斯凱拉巨牙海民,滿等名望的伊斯凱拉巨牙海民區域1,5471,0,21439,21439,0,0,49,0,103,0,34450
197,龍鱗遠征隊,龍鱗遠征隊名望劇情戰役,5468,0,21439,21439,0,0,50,0,103,0,21439
198,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
199,誓言母石,10.0 - Raid Opening Quests,5470,0,21439,103947,0,0,51,0,0,0,0
200,黑曜龍堡,,0,0,5703,5703,0,0,0,0,0,0,0
201,巨龍崛起,大師戰役,5468,0,21439,21439,104950,0,50,0,1099,0,0
203,奈薩里奧的餘燼,10.0.7/10.1 Narrative Campaign,5522,0,5703,5703,123577,0,53,0,1070,0,34450
206,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
207,蒼藍高地,秘密戰役,5466,0,5703,5703,5703,5703,47,0,0,5703,0
208,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
209,藍龍軍團,,5468,0,21439,21439,0,0,50,0,102,0,21439
210,澤斯克拉密庫,,0,0,108197,0,0,0,50,0,0,34450,0
212,放逐之境,呈現全新玩家體驗的放逐之境戰役,5531,0,108830,108830,108834,0,55,0,95,0,0
213,放逐之境,呈現全新玩家體驗的放逐之境戰役,5531,0,108835,108835,108834,0,55,0,95,0,0
214,決戰艾澤拉斯,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,109122,924,109672,0,8,2,899,0,0
215,決戰艾澤拉斯,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,86702,86702,108940,0,8,0,899,0,0
216,陣營戰役,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,109193,109193,109793,0,8,0,898,0,49081
217,納沙塔爾,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,109210,109210,109183,0,8,0,897,0,49081
218,機械岡,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,109180,109180,109182,0,8,0,896,0,49081
219,恩若司的幻象,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,109211,109211,109789,0,8,0,895,0,49081
221,決戰艾澤拉斯,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,262,0,109810,109810,109672,0,10,2,899,0,0
222,機械岡,,262,0,109812,109812,109182,0,10,0,896,0,49081
223,納沙塔爾,,262,0,109814,109814,109183,0,10,0,897,0,49081
224,恩若司的幻象,,262,0,109820,109820,109789,0,10,0,895,0,49081
225,陣營戰役,,262,0,109821,109821,109822,0,10,0,898,0,49081
226,決戰艾澤拉斯,,262,0,109832,109832,109833,0,10,0,899,0,0
227,龍石,,5468,0,0,34450,0,0,50,0,1092,0,34450
228,暗焰火花,,5522,0,0,34450,0,0,53,0,1092,0,34450
229,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
230,測試戰役,,5470,0,0,0,0,0,51,0,104,104511,0
231,夢境守護者,,5542,0,5703,5703,123578,0,57,0,1060,0,34450
233,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
234,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
235,艾澤拉斯的幻象,資料片前導任務,5570,0,138198,138198,0,0,60,0,1104,0,0
236,多恩島,Zone 1 Level-Up Questing,5578,0,138198,138198,0,0,63,0,1103,0,119582
237,鳴響深淵,Zone 2 Level-Up Questing,5579,0,138198,138198,120831,0,61,0,1102,0,119582
238,聖落之地阿拉希,Zone 3 Level-Up Questing,5580,0,138198,138198,0,0,62,0,1101,0,119582
239,阿茲-卡罕特,Zone 5 Level-Up Questing,5581,0,138198,138198,118153,0,64,0,1100,0,119582
240,黑暗之心,最高等級任務,5570,0,138201,138201,138223,0,60,0,1195,0,34450
241,迎頭趕上！,,0,0,5703,5703,0,0,0,0,0,0,0
242,獵殺先驅者,,5570,0,121891,121891,0,0,60,0,1100,34450,34450
246,登陸,,262,0,119806,119806,119684,0,59,0,598,0,49081
247,潘達利亞之謎,隨著死亡之翼的落敗，部落和聯盟之間的衝突再次爆發。身為部落的勇士，你有義務參與這場戰鬥。,5568,0,119683,119683,119712,0,59,0,599,0,0
248,潘達利亞之謎,隨著死亡之翼的落敗，部落和聯盟之間的衝突再次爆發。身為聯盟的勇士，你有義務參與這場戰鬥。,5568,0,119829,119829,119830,0,59,0,599,0,0
249,登陸,,261,0,119896,119896,119900,0,59,0,598,0,49081
250,雷王,,261,0,119947,119947,119948,0,59,0,597,0,49081
251,雷王,,262,0,119956,119956,119957,0,59,0,597,0,49081
252,一觸即發,,263,0,119959,119959,119962,0,59,0,596,0,49081
253,圍攻奧格瑪,,261,0,119963,119963,119964,0,59,0,596,0,49081
254,圍攻奧格瑪,,262,0,119965,119965,119964,0,59,0,596,0,49081
256,巨龍軍團,升級區域中的大師團隊標題,5468,0,122644,122644,122645,0,50,0,1099,0,0
257,藍龍軍團,,5468,0,21439,21439,122675,0,50,0,1080,0,34450
258,綠龍軍團,Green Dragons Ch 1+2,5468,0,122673,122673,122674,0,50,0,1090,0,34450
260,不散暗影,11.1戰役序章劇情,5644,0,138202,138202,138224,0,67,1,1190,34450,34450
261,資料片開場跳過,,0,0,5703,5703,0,0,0,0,0,0,0
262,(DNT) Campaign,,0,0,0,0,0,0,0,0,0,0,0
263,(DNT) Legendary,,0,0,0,0,0,0,0,0,0,0,0
264,幽坑城,小心有坑,5644,0,138203,138203,138222,0,66,1,1185,0,34450
265,祈倫托的命運,祈倫托任務線,5570,0,138198,138198,0,0,60,1,1130,34450,34450
266,故事漫遊：薩拉塔斯,,5683,0,128374,128374,0,0,0,6,9999,0,0
267,紅色黎明的崛起,,5707,0,138198,138198,140808,0,69,1,1145,34450,34450
268,故事漫遊：以太族,,5683,0,129662,129662,0,0,0,6,9999,0,0
269,影陽幻象,,5729,0,138221,138221,138229,0,72,0,1157,0,34450
270,至暗之夜,,5767,0,147611,147611,138637,0,73,0,1201,0,162035
271,刀鋒,凱瑞西之魂,5712,0,138192,138192,138228,0,70,0,1180,0,34450
273,故事漫遊：訓練,,5570,0,131787,131787,0,0,0,6,9999,0,0
274,故事漫遊：精靈,,5683,0,131857,131857,0,0,0,6,9999,0,0
275,艾蘇納,艾蘇納,260,0,132563,132563,132564,0,68,0,707,0,49081
276,海妖島,,0,0,5703,5703,0,0,0,0,0,0,0
277,維爾薩拉,維爾薩拉,260,0,132799,132799,132800,0,68,0,706,0,49081
278,高嶺,高嶺,260,0,132806,132806,132807,0,68,0,705,0,49081
279,故事漫遊：阿薩斯,,5683,0,153306,153306,0,0,0,6,9999,0,0
280,斯鐸海姆,斯鐸海姆,260,0,132861,132861,132862,0,68,0,704,0,49081
281,12.0 - Arator,,0,0,0,0,0,0,0,0,2001,0,0
283,生態重構,生態重構,5570,0,138198,138198,0,0,60,0,1149,0,34450
284,光與影之戰,,5768,0,135490,34450,143073,0,74,0,1202,0,161965
285,軍臨天下,資料片包裹,260,0,135524,135524,135525,0,68,2,799,0,0
286,戰士職業大廳,戰士職業大廳,260,0,135530,135530,135532,0,68,0,708,0,49081
287,12.0,,0,0,0,0,0,0,0,0,0,0,0
288,夜落精靈,夜落精靈,260,0,136851,136851,136853,0,68,0,703,0,49081
289,起義,起義,260,0,136854,136854,136855,0,68,0,710,0,49081
290,軍團之殞戰役,軍團之殞戰役,260,0,136858,136858,136859,0,68,0,720,0,49081
291,阿古斯之影,阿古斯戰役,260,0,136940,136940,136941,0,68,0,730,0,49081
292,聖騎士職業大廳,聖騎士職業大廳,260,0,136944,136944,137245,0,68,0,708,0,49081
293,獵人職業大廳,獵人職業大廳,260,0,136945,136945,137246,0,68,0,708,0,49081
294,盜賊職業大廳,盜賊職業大廳,260,0,136946,136946,137247,0,68,0,708,0,49081
295,牧師職業大廳,牧師職業大廳,260,0,136947,136947,137248,0,68,0,708,0,49081
296,薩滿職業大廳,薩滿職業大廳,260,0,136948,136948,137249,0,68,0,708,0,49081
297,法師職業大廳,法師職業大廳,260,0,136949,136949,137250,0,68,0,708,0,49081
298,術士職業大廳,術士職業大廳,260,0,136950,136950,137251,0,68,0,708,0,49081
299,武僧職業大廳,武僧職業大廳,260,0,136951,136951,137252,0,68,0,708,0,49081
300,德魯伊職業大廳,德魯伊職業大廳,260,0,136952,136952,137253,0,68,0,708,0,49081
301,惡魔獵人職業大廳,惡魔獵人職業大廳,260,0,136953,136953,137254,0,68,0,708,0,49081
302,死亡騎士職業大廳,死亡騎士職業大廳,260,0,136954,136954,137255,0,68,0,708,0,49081
303,軍臨天下：混搭再造,軍臨天下：混搭再造,260,0,133966,133966,138621,0,68,0,798,0,49081
311,LAURA TEST,LAUrA TEST,5570,0,18814,18814,0,0,60,0,1159,0,0
312,地心之戰,大師戰役,5570,0,138195,138195,138196,0,60,0,1199,0,0
313,海妖島,,0,0,5703,5703,0,0,0,0,0,0,0
314,海妖島,,0,0,5703,5703,0,0,0,0,0,0,0
315,阿拉希高地圍城,,5683,0,139628,139628,0,0,0,6,9999,0,0
316,巨龍崛起開場 - 聯盟,,0,0,5703,5703,0,0,0,0,0,0,0
318,劇情回顧：地心之戰,,5683,0,143478,143478,0,0,0,6,9999,0,0
319,故事漫遊：索爾,,5683,0,145816,145816,0,0,0,6,9999,0,0
320,故事漫遊：羅亞,,5683,0,146169,146169,0,0,0,6,9999,0,0
321,放逐之境,對於跳過放逐之境劇情、直接前往房屋的玩家，會出現此戰役。,5531,0,146274,146274,146275,0,55,0,95,0,0
322,放逐之境,對於跳過放逐之境劇情、直接前往房屋的玩家，會出現此戰役。,5531,0,146298,146298,146299,0,55,0,95,0,0
323,地心之戰,開頭任務指南,5570,0,119581,119581,0,0,60,0,1104,0,0
324,烏拉特克的詛咒,,5780,0,149278,149278,147382,0,75,0,1220,0,161958
328,機械岡護照管理,,0,0,5703,5703,0,0,0,0,0,0,0
332,烏拉特克的詛咒,,5780,0,5703,5703,5703,0,75,0,2000,0,0
333,虛無的呼喚,,5727,0,5703,5703,5703,0,72,0,2000,0,0
334,蒼藍高地,秘密戰役,5466,0,5703,5703,5703,5703,47,0,0,5703,0
335,至暗之夜資料片開場跳過,,0,0,5703,5703,0,0,0,0,0,0,0
336,永歌森林開場跳過,,0,0,5703,5703,0,0,0,0,0,0,0
337,使用者介面測試,,0,0,0,0,0,0,0,0,0,0,0
345,蒼藍高地,秘密戰役,5466,0,5703,5703,5703,5703,47,0,0,5703,0
346,蒼藍高地,秘密戰役,5466,0,5703,5703,5703,5703,47,0,0,5703,0
352,至暗之夜,{DNT} - Hidden Complete,5767,0,5703,5703,5703,5703,73,0,0,5703,0
357,歡迎來到衛爾,,0,0,5703,5703,0,0,0,0,0,0,0
358,歡迎來到奈格塔,,0,0,5703,5703,0,0,0,0,0,0,0
359,歡迎來到奈格塔,,0,0,5703,5703,0,0,0,0,0,0,0
380,強化對開本,,0,0,5703,5703,0,0,0,0,0,0,0
381,逐日者萬象儀,,0,0,5703,5703,0,0,0,0,0,0,0
382,至暗之夜,,5767,0,162012,0,162015,0,73,2,1299,0,0
