ID,Name_lang,Quantity,Flags
333,梭克的尾巴尖端,1,1
334,活化腐敗軟泥怪之瓶,1,1
335,傲慢之詛咒,1,1
336,斯其爾的浸血咒符,1,1
337,間歇式畸形負載平衡器,1,1
338,亞煞拉懼的黑血,1,1
339,滴答作響的黯黑引爆器,1,1
340,黑石爐缸,3,0
341,德拉諾之霸製造,3,1
342,工程學作坊物品,1,0
343,要塞水果,5,0
344,附魔幻象,1,0
345,大法師的指環,1,1
346,軍團製造,3,1
347,鬼魂海盜戒指,1,1
348,豹眼石,1,1
349,惡魔剋星,1,1
350,製造的聖物,1,1
351,赤紅藥瓶,3,0
352,靈動絕釀,2,0
353,Test Item Limit Category Crafted,3,1
357,軍團傳說級物品,1,1
358,入侵者手環,1,1
359,入侵者飾品,1,1
360,紫羅蘭徽印,1,1
361,獵犬之眼,1,1
362,泰坦之途,1,1
463,海怪之眼,1,1
464,海怪之眼戒環,1,1
465,紅色穿孔卡片,1,1
466,黃色穿孔卡片,1,1
467,藍色穿孔卡片,1,1
468,巨神海蛇之眼,1,1
469,巨神海蛇之眼戒環,1,1
471,寧靜之瓶,3,0
472,暗月套卡,1,1
473,暗影之境製作傳說級物品,1,1
474,鬥士勳章,1,1
481,暗影之境製作物品,1,1
482,血魄雷夫裂片,1,1
483,血魄賈斯裂片,1,1
484,血魄貝克裂片,1,1
486,冰霜寇爾裂片,1,1
487,冰霜琪爾裂片,1,1
488,冰霜特爾裂片,1,1
489,穢邪迪茲裂片,1,1
490,穢邪歐斯裂片,1,1
491,穢邪杰德裂片,1,1
492,個人旋律,1,1
493,戰鬥節奏,1,1
494,波克波可和音,1,1
496,受啟迪者傳說級物品,1,1
501,洪荒使者寶石,1,1
502,守護巨龍塑像,1,1
503,銘文頭部,1,1
504,召喚甜點,1,0
505,工具組,1,1
506,頭部,1,1
507,附魔法器,1,1
508,背部,1,1
509,放大鏡,1,1
510,胸部,1,1
511,手部,1,1
512,裝飾,2,1
513,背部,1,1
514,胸部,1,1
515,手部,1,1
516,頭部,1,1
517,工具組,1,1
518,背部,1,1
519,胸部,1,1
520,手部,1,1
521,頭部,1,1
522,背部,1,1
523,胸部,1,1
524,手部,1,1
525,頭部,1,1
526,工具組,1,1
527,背部,1,1
528,胸部,1,1
529,手部,1,1
530,頭部,1,1
531,工具組,1,1
532,背部,1,1
533,胸部,1,1
534,手部,1,1
535,頭部,1,1
536,背部,1,1
537,胸部,1,1
538,手部,1,1
539,頭部,1,1
540,背部,1,1
541,胸部,1,1
542,手部,1,1
543,頭部,1,1
544,工具組,1,1
545,背部,1,1
546,胸部,1,1
547,手部,1,1
548,頭部,1,1
549,工具組,1,1
550,背部,1,1
551,胸部,1,1
552,手部,1,1
553,頭部,1,1
554,工具組,1,1
555,背部,1,1
556,胸部,1,1
557,手部,1,1
558,頭部,1,1
559,背部,1,1
560,胸部,1,1
561,手部,1,1
562,頭部,1,1
563,背部,1,1
564,胸部,1,1
565,手部,1,1
566,頭部,1,1
567,工具組,1,1
568,鈷藍力量之戒,1,1
569,警報砲塔,1,1
570,弧光活力修正器,1,1
571,奈薩里奧之息,1,1
572,接地電路,1,1
573,位面移轉裝置,1,1
574,極性增幅器,1,1
575,超級碰撞機器人,1,1
596,魔精水晶,1,0
597,防腐大鍋,1,0
598,短效藥瓶,2,0
599,暗焰火箭,1,1
600,探究鑰石,5,0
607,短效精煉藥劑,1,0
608,短效藥水,20,0
614,阿爾加鑽石,1,1
643,原型,1,0
644,腳部,1,1
645,閃電束鏈,1,1
646,超頻的自拍相機,1,1
647,土靈運輸鑽土機,1,1
648,覓心生命注射器,1,1
649,專業技能背包,2,0
650,織者釣線絲線,100,0
651,織者釣線技能絲線,100,0
652,食屍魚,1,0
653,最好的朋友,1,0
680,虛無之觸,1,1
681,神聖典籍,1,1
682,怨毒摘錄,1,1
