ID,Name_lang,Flags,UsesPerWeek,MaxCharges,ChargeRecoveryTime,TypeMask
65,近戰(特殊),0,0,0,0,0
66,閃躲動作,0,0,0,0,0
67,格擋動作,0,0,0,0,0
68,招架動作,0,0,0,0,0
72,直接傷害(持續性範圍) - 法術,0,0,0,0,0
73,戰鬥技藝(一般),0,0,0,0,0
74,戰鬥技藝(特殊),0,0,0,0,0
75,偵測,0,0,0,0,0
76,射擊/投擲,0,0,0,0,0
77,交易技能 - 草藥學,0,0,0,0,0
78,交易技能 - 採礦,0,0,0,0,0
79,物品 - 藥水(非戰鬥類),0,0,0,0,0
82,嘲諷/忽視,0,0,0,0,0
83,馴服野獸,0,0,0,0,0
84,嘲諷(範圍),0,0,0,0,0
85,直接傷害(連鎖範圍) - 技能,0,0,0,0,0
86,寵物,0,0,0,0,0
87,召喚(長),0,0,0,0,0
88,沉默,0,0,0,0,1
89,傳送門,0,0,0,0,0
93,魅惑,0,0,0,0,0
94,物品 - 召喚,0,0,0,0,0
95,種族特長,0,0,0,0,0
96,種族特長2,0,0,0,0,0
97,次要 - 生存,0,0,0,0,0
98,大型直接傷害 - 法術(2),0,0,0,0,0
99,瞬發法術,0,0,0,0,0
100,物品 - 法力寶石,0,0,0,0,0
101,惡魔獵犬,0,0,0,0,0
102,物品 - 長效增益效果,0,0,0,0,0
103,物品 - 史詩,0,0,0,0,0
104,圖騰(治療),0,0,0,0,0
105,圖騰(毒蛇),0,0,0,0,0
106,圖騰(緩速),0,0,0,0,0
107,圖騰(法力),0,0,0,0,0
108,圖騰(隱形),0,0,0,0,0
109,近戰(繳械),0,0,0,0,0
132,戒律,0,0,0,0,0
133,共用,0,0,0,0,0
150,物品 - 繃帶,0,0,0,0,0
170,終結技(依武器決定),0,0,0,0,0
190,放逐術,0,0,0,0,0
230,圖騰(根基),0,0,0,0,0
250,衝擊波,0,0,0,0,0
270,腎擊,0,0,0,0,0
290,炎爆術,0,0,0,0,0
310,轉化 - 鍊金術,8,0,0,0,0
330,坐騎,0,0,0,0,0
350,心靈之怒,0,0,0,0,0
351,遠程武器,2,0,0,0,0
371,閃電之盾,0,0,0,0,0
391,任務- 惡魔詛咒,0,0,0,0,0
411,陷阱(冰霜),0,0,0,0,0
431,神聖新星,0,0,0,0,0
451,神聖之火,0,0,0,0,0
471,寒冰護體,0,0,0,0,0
511,星界傳送,0,0,0,0,0
531,自然之握,0,0,0,0,0
551,虔誠光環,0,0,0,0,0
571,颶風,0,0,0,0,0
591,圖騰(法力之潮),0,0,0,0,0
611,希望之翼,0,0,0,0,0
631,靈魂之火,0,0,0,0,0
633,死亡纏繞,0,0,0,0,0
634,恐懼嚎叫,0,0,0,0,0
651,Class - Warlock - Shadowburn,0,0,2,12000,1
671,絕望禱言,0,0,0,0,0
672,Class - Warlock - Conflagrate,0,0,2,12960,1
691,噬靈瘟疫,0,0,0,0,0
731,術士 - 召喚守護者,0,0,0,0,0
751,樹形,0,0,0,0,0
791,物品 - 篩鹽器,0,0,0,0,0
811,神聖干涉,0,0,0,0,0
831,靈魂石,0,0,0,0,0
851,恢復,0,0,0,0,0
871,影遁,0,0,0,0,0
891,旋風斬,0,0,0,0,0
892,神聖震擊,0,0,0,0,4
911,擾亂射擊,0,0,0,0,0
931,神聖之盾,0,0,0,0,0
932,奉獻,0,0,0,0,0
951,PvP戰場物品 - 長效(30分鐘),0,0,0,0,0
971,Class - Warrior - Mortal Strike,0,0,1,6000,1
991,物品 - 雪王,0,0,0,0,0
1011,狂暴恢復,0,0,0,0,0
1031,物品 - 半小時,0,0,0,0,0
1051,物品 - 起搏器,0,0,0,0,0
1071,物品 - 孵化小啾啾,0,0,0,0,0
1091,戰場召喚,0,0,0,0,0
1111,翼龍釘刺,0,0,0,0,0
1131,報復之錘,0,0,0,0,0
1132,脅迫,0,0,0,0,0
1133,精靈之火(野性),0,0,0,0,0
1134,還擊,0,0,0,0,0
1135,反擊,0,0,0,0,0
1136,節日 - 煙火,0,0,0,0,0
1137,節日 - 鞭炮,0,0,0,0,0
1138,RC武器,0,0,0,0,0
1139,物品 - 任務(10分鐘),0,0,0,0,0
1140,物品 - 任務(1分鐘),0,0,0,0,0
1141,物品 - 爆發飾品,0,0,0,0,0
1142,Holiday - Love,0,0,0,0,0
1143,物品 - 活動假人,0,0,0,0,0
1144,牧師種族特長,0,0,0,0,0
1145,光束泉,0,0,0,0,0
1146,物品 - 附魔棒,0,0,0,0,0
1147,復活勇士,0,0,0,0,0
1148,法術石,0,0,0,0,0
1149,任務- 1小時,0,0,0,0,0
1150,暗影之擊,0,0,0,0,0
1151,天賦 - 傷害輸出,0,0,0,0,0
1152,Creature Special 1,0,0,0,0,0
1153,物品 - 戰鬥效果(非攻擊型),0,0,0,0,0
1154,珠寶設計 - 切割珠寶,0,0,0,0,0
1155,阿拉希盆地飾品,0,0,0,0,0
1156,Reincarnation (Pet Talent),0,0,0,0,0
1157,物品 - 任務(10秒鐘),0,0,0,0,0
1158,攔截,0,0,0,0,0
1159,生物特殊能力2,0,0,0,0,0
1160,物品 - 牧師史詩法杖,0,0,0,0,0
1161,Reincarnation (Player),0,0,0,0,0
1162,隱形術,0,0,0,0,0
1163,西洋棋冷卻時間，移動,0,0,0,0,0
1164,任務- 藍謎島坐騎,0,0,0,0,0
1165,痛苦之釘,0,0,0,0,0
1166,PvP飾品/亡靈意志,0,0,0,0,0
1167,任務- 投擲巨礫,0,0,0,0,0
1168,煙霧照明彈,0,0,0,0,0
1169,暗言術:死,0,0,1,10000,1
1170,任務- 空襲部隊,0,0,0,0,0
1171,Class - Hunter - Survival - Kill Command,0,0,1,6000,1
1172,迅捷射擊,0,0,0,0,0
1173,秘法射擊,0,0,0,0,0
1174,附魔,0,0,0,0,0
1175,PvP - Hunter Stings,0,0,0,0,0
1176,爐石,0,0,0,0,0
1177,靈魂儀式/餐點儀式,0,0,0,0,0
1178,潛行開始,0,0,0,0,0
1179,厄運詛咒,0,0,0,0,0
1180,哥布林火箭頭盔,0,0,0,0,0
1181,癒合禱言,0,0,0,0,0
1182,PvP職業飾品,0,0,0,30000,0
1183,物品 - 虛空之翼幼龍,0,0,0,0,0
1184,區域精鍊效果 - 劍刃山脈,0,0,0,0,0
1185,區域精鍊效果 - 撒塔斯城,0,0,0,0,0
1186,Class - Paladin - Hand of Sacrifice,16,0,1,120000,1
1187,致盲,0,0,0,0,0
1188,譴責,0,0,0,0,0
1189,秘法彈幕,0,0,0,0,0
1190,物品 - PvP生命值提高,0,0,0,0,0
1191,碎盾,0,0,0,0,0
1192,星辰裂片,0,0,0,0,0
1193,物品 - 修理機器人,0,0,0,0,0
1194,區域增益效果 - 太陽井,0,0,0,0,0
1195,大地之盾,0,0,0,0,0
1196,死亡打擊,0,0,2,8000,0
1197,節日 - 雪球,0,0,0,0,0
1198,轉化 - 鍊金術(金屬),0,0,0,0,0
1199,Transmute - Alchemy (Legion),8,0,0,0,0
1200,轉化 - 鍊金術(寶石),0,0,0,0,0
1201,震懾波,0,0,0,0,0
1202,自然迅捷(薩滿),0,0,0,0,0
1203,物品 - 速度,0,0,0,0,0
1204,治療之環,0,0,0,0,0
1205,野性衝鋒,0,0,0,0,9
1206,Class - Rogue - Shadowstep,0,0,0,30000,9
1207,血魄打擊,0,0,0,0,0
1208,狂暴,0,0,0,0,0
1209,盾牌猛擊,0,0,0,0,0
1210,Judgment,0,0,0,0,0
1211,Class - Warrior - Heroic Leap,0,0,1,45000,9
1212,Teleport - Dalaran (Ring),0,0,0,0,0
1213,物品 - 追蹤,0,0,0,0,0
1214,活體爆彈,0,0,0,0,0
1215,龍之吐息,0,0,0,0,0
1216,物品 - 工程學附魔,0,0,0,0,0
1217,颱風,0,0,0,0,0
1218,星殞術,0,0,0,0,0
1219,衝鋒,0,0,0,20000,0
1221,極度冰凍,0,0,0,0,0
1222,蝕魂術,0,0,0,0,0
1223,雷霆風暴,0,0,0,0,0
1224,Quest - Lava Burst,0,0,0,0,0
1225,Class - Warlock - Demonic Empowerment,0,0,3,12000,1
1226,擊殺射擊,0,0,0,0,0
1227,轟炸機 - 傷害控制,0,0,0,0,0
1228,Class - Shaman - Riptide,0,0,1,6000,1
1229,物品 - 召回卷軸,0,0,0,0,0
1230,Class - Priest - Penance,0,0,0,0,1
1231,震盪射擊,0,0,0,0,0
1232,物品 - 暗月塔羅牌,0,0,0,0,0
1233,風怒武器,0,0,0,0,0
1234,節日 - 豐年祭餐桌,0,0,0,0,0
1235,寒冰皇冠轟炸機 - 交換座位,0,0,0,0,0
1236,Darkmoon - Ride Items,0,0,0,0,0
1237,野性痊癒,0,0,0,0,0
1238,追蹤,0,0,0,0,0
1239,追蹤,0,0,0,0,0
1240,屍爆術,0,0,0,0,0
1241,畏縮,0,0,0,0,0
1242,秘法強化/氣定神閒,0,0,0,0,0
1243,真言術:壁,0,0,0,0,0
1244,聯賽 - 騎乘近戰,0,0,0,0,0
1245,死者復生,0,0,0,0,0
1246,聯賽 - 旌旗,0,0,0,0,0
1247,霜暴之息,0,0,0,0,0
1248,凜風衝擊,0,0,0,0,0
1249,陷阱(自然),0,0,0,0,0
1250,陷阱(火焰),0,0,0,0,0
1251,暫時生命值,0,0,0,0,0
1252,哥布林火箭腰帶,0,0,0,0,0
1253,凜冬號角,0,0,0,0,0
1254,Class - Shaman - Stormstrike,0,0,0,12000,1
1255,任務- 載具,0,0,0,0,0
1256,測試 - 朗的測試,8,7,5,10000,0
1257,奔竄咆哮,0,0,0,0,0
1258,爬樹,0,0,0,0,0
1259,Class - Shaman - Fire Nova,0,0,1,4500,1
1260,碎顱猛擊,0,0,0,0,0
1261,戰士怒吼增益效果,0,0,0,0,0
1262,忠誠防衛者,0,0,0,0,0
1263,銘文學 - 製造配方,8,0,0,0,0
1264,Crusader Strike (OLD),0,0,0,0,0
1265,英勇打擊,0,0,0,0,0
1266,恐懼術(術士),0,0,0,0,0
1267,偽造的文件,8,0,0,0,0
1268,牧師 - 大天使,0,0,0,0,0
1269,烈焰之球,0,0,0,60000,0
1271,靈魂調換,0,0,0,0,0
1272,糾纏根鬚,0,0,0,0,0
1273,銘文學 - 偽造的文件,8,0,0,0,0
1274,北裂境鍊金術研究,8,0,0,0,0
1275,初階銘文學研究,8,0,0,0,0
1276,北裂境銘文學研究,8,0,0,0,0
1277,公會侍從/公會信使,0,0,0,0,0
1278,裁縫 - 夢布(空氣),8,0,0,0,0
1279,裁縫 - 夢布(水),8,0,0,0,0
1280,裁縫 - 夢布(火),8,0,0,0,0
1281,裁縫 - 夢布(大地),8,0,0,0,0
1282,裁縫 - 夢布(生命),8,0,0,0,0
1283,工程學 - 腰帶附魔,0,0,0,0,0
1284,造型 - 召喚,0,0,0,0,0
1285,裁縫 - 冰川包,8,0,0,0,0
1286,考古學勘查,0,0,0,0,0
1288,中央移動,0,0,0,0,0
1289,破釜沉舟,0,0,0,0,0
1290,鳥類攻擊,0,0,0,0,0
1291,珠寶設計 - 稜彩,8,0,0,0,0
1298,盾牆,0,0,0,0,0
1328,裁縫 - 夢布(所有),0,5,0,0,0
1329,物品 - 繃帶,0,0,0,0,1
1330,沉著殺機,0,0,0,0,0
1331,任務 - 寺院訓練,0,0,0,0,0
1332,附魔 - 風之歌,0,0,0,0,0
1333,化身,0,0,0,0,0
1334,守護者,0,0,0,0,0
1335,巨龍之魂傳說級,0,0,0,0,0
1336,術士 - 召喚守護者,0,0,0,0,0
1339,Inscription - Scroll of Wisdom - 5.0 Daily Cooldown,8,0,0,0,0
1345,戰旗,0,0,0,0,0
1347,公會旌旗,0,0,0,0,0
1348,術士 - 惡魔法陣,0,0,0,0,0
1349,Player Farm - Plot 1 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1350,Player Farm - Plot 2 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1351,Player Farm - Plot 3 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1352,Player Farm - Plot 4 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1353,Player Farm - Plot 5 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1354,Player Farm - Plot 6 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1355,Player Farm - Plot 7 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1356,薩滿元素圖騰,0,0,0,0,0
1357,附魔 - 水晶轉化,8,0,0,0,0
1358,惡魔斬擊,0,0,3,4500,0
1359,樹皮術,0,0,0,0,0
1360,脈輪運轉,0,0,0,0,0
1361,事件 - 物品 - 傷害,0,0,0,0,0
1362,事件 - 物品 - 昏迷,0,0,0,0,0
1363,術士 - 召喚惡魔,0,0,0,0,0
1364,事件 - 物品 - 治療,0,0,0,0,0
1365,Class - Monk - Roll,0,0,2,20000,9
1366,牧師 - 輝環,0,0,0,0,0
1367,武僧 - 蛟龍雕像,0,0,2,180000,0
1372,狂野蘑菇,0,0,3,30000,0
1373,Class - Priest - Angelic Feather,0,0,3,20000,9
1374,武僧 - 迅空翻 <迅靈身法>,0,0,3,15000,0
1376,德魯伊 - 兇蠻防禦,0,0,2,12000,0
1377,武僧 - 治療玉,0,0,3,15000,1
1378,凶暴野獸,0,0,0,0,0
1380,神性之星,0,0,0,0,0
1383,野性之心,32,0,0,0,1
1384,牧師 - 懼靈魔,0,0,0,0,0
1385,Class - Warrior - Shield Block,0,0,1,16000,1
1386,Class - Warrior - Charge,0,0,1,20000,9
1387,工程學 - 布靈登,8,0,0,0,0
1388,時光倒轉,0,0,0,0,0
1389,神聖箭矢,0,0,0,0,0
1390,Class - Paladin - Hand of Freedom,0,0,1,25000,1
1391,拯救聖禦,0,0,0,120000,0
1392,Class - Paladin - Hand of Protection,16,0,1,300000,1
1393,Player Farm - Plot 8 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1394,Player Farm - Plot 9 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1395,Player Farm - Plot 10 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1396,Player Farm - Plot 11 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1397,Player Farm - Plot 12 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1398,Player Farm - Plot 13 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1399,Player Farm - Plot 14 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1400,Player Farm - Plot 15 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1401,Player Farm - Plot 16 Harvest Cooldown VFW: (DLA),8,0,0,0,0
1402,裁縫 - 帝國絲綢,8,0,0,0,0
1407,挑戰者之道,0,0,0,0,0
1409,潘達利亞 - 珠寶設計 - 研究,8,0,0,0,0
1415,戰士姿態,0,0,0,0,0
1416,Item - The Pigskin,0,0,0,0,0
1417,牧師 - 暗影惡魔,0,0,0,0,0
1418,Class - Monk - Invoke Celestial,0,0,0,0,0
1419,Fury Ward,0,0,2,10000,0
1420,Solar Beam,0,0,0,0,0
1421,Default (Bug 336222),0,0,0,0,0
1422,Brawl - Playing Dirty,0,0,0,0,0
1423,Scenario - Fort - Activated Ability,0,0,0,0,0
1424,Scenario - Fort - Shotgun,0,0,3,5000,0
1425,Unstable Explosion,0,0,0,0,0
1426,Vol'jin Scenario - Land Mines,0,0,5,10000,0
1427,Summon Krasarang Presence,0,0,0,0,0
1428,Class - Death Knight - Death Grip,0,0,1,25000,1
1429,Symbiosis,4,0,0,0,0
1430,Item - Combat Cons. (Landshark),4,0,0,0,0
1431,Incomplete Drakkari Colossus Abilities,0,0,0,0,0
1432,Zandalari Council - Soul Fragment,0,0,0,0,0
1433,Blacksmithing - Lightning Steel Ingot - 5.2 Daily Cooldown,8,0,0,0,0
1434,Leatherworking - Magnificent Hide - 5.2 Daily Cooldown,8,0,0,0,0
1435,Leatherworking - Magnificent Hide - 5.2 Daily Cooldown - spare,8,0,0,0,0
1436,Jewelcrafting - Serpent's Heart - 5.2 Daily Cooldown,8,0,0,0,0
1437,Ring of Frost,0,0,0,0,0
1438,Engineering - Stabilized Lightning Source - 5.2 Daily Cooldown,8,0,0,0,0
1439,Scenario - Shimmer - Sniper,4,0,0,0,0
1440,Force of Nature,0,0,3,20000,0
1441,Leatherworking - Hardened Magnificent Hide - 5.4 Daily Cooldown,8,0,0,0,0
1442,Tailoring - Grand Imperial Silk,8,0,0,0,0
1443,Blacksmithing - Improved Lightning Steel Ingot - 5.4 Daily Cooldown,8,0,0,0,0
1444,Item - Push Loot,0,0,0,0,0
1445,Hamstring,0,0,0,0,0
1446,Class - Mage - Blink,0,0,1,15000,9
1447,Warlock - Dark Soul,48,0,0,120000,1
1448,Class - Hunter - Deterrence Base,0,0,2,180000,1
1449,Class - Hunter - Disengage,0,0,1,20000,9
1450,Scenario - Naaru's Momentum,0,0,1,1000,0
1451,Chi Brew,0,0,2,60000,0
1452,Class - Mage - Ice Floes,0,0,3,20000,1
1453,Class - Hunter - Deterrence Talented,0,0,2,120000,1
1454,Leap Charge Protection,0,0,0,0,0
1456,Class - Paladin - Sacred Shield,0,0,3,18000,1
1457,Trade - Cooking,0,0,0,0,0
1458,Wild Mushroom (Resto),0,0,0,0,0
1461,Event - AO - Tallstrider,0,0,0,0,0
1463,Event - AO - Powermonger - 2 charge,0,0,2,10000,0
1464,"Event - AO - Powermonger - 2 charge, Slot 2",0,0,0,10000,0
1465,6.0 Professions - Blacksmithing - Blackrock Crucible,8,1,0,0,0
1466,Quest - Call Thaelin Darkanvil,0,0,0,0,0
1467,OLD,0,0,0,0,0
1468,Seduction,0,0,0,0,0
1469,Class - Druid - Survival Instincts,48,0,1,180000,1
1470,Slow Fall,0,0,0,0,0
1471,Shield Charge,0,0,2,15000,0
1472,Warrior - Interrupt,0,0,0,0,0
1473,Item - Portable Mailbox - Engineering,0,0,0,0,0
1474,Monk - Guard,0,0,0,30000,1
1475,Rune Tap,0,0,2,40000,0
1476,Item - On Use - Helm Visual,0,0,0,0,0
1477,6.0 Professions - Alchemy - Daily Cooldown,8,0,0,0,0
1479,"Transmute - Alchemy (Wild, Legion)",8,0,0,0,0
1480,Garrison - Artillery Strike,0,0,3,200000,0
1481,6.0 Professions - Engineering - Material,8,0,0,0,0
1482,Trap (Physical),0,0,0,0,0
1483,Paladin - Beacon of Light,0,0,0,0,0
1484,6.0 Professions - Alchemy - 3 Charges 24 hr Cooldown,0,0,3,86400000,0
1485,Starsurge / Starfall,16,0,3,30000,0
1486,Supernova / Blastwave,0,0,2,25000,0
1487,Ice Nova,0,0,2,25000,0
1488,Client Scene Triggered Spell,0,0,0,0,0
1489,Aspects,0,0,0,0,0
1490,Class - Monk - Keg Smash,0,0,1,8000,1
1491,Garrison - Land Mine,0,0,3,10000,0
1493,6.0 Tradeskills - Enchanting,8,0,0,0,0
1494,6.0 Tradeskills - Inscription,8,0,0,0,0
1495,6.0 Tradeskills - Enchanting (3),8,0,3,86400000,0
1497,6.0 Tradeskills - Inscription (3),8,0,3,86400000,0
1498,6.0 Professions - Tailoring - Daily Cooldown,8,0,0,0,0
1499,6.0 Professions - Tailoring - 3 Charges 24 hr Cooldown,0,0,3,86400000,0
1500,Class - Mage - Fire Blast,0,0,1,12000,1
1501,6.0 Professions - Jewelcrafting - Daily Cooldown,8,0,0,0,0
1502,6.0 Professions - Jewelcrafting - 3 Charges 24 hr Cooldown,0,0,3,86400000,0
1503,Battle Pets - Revive,0,0,0,0,0
1504,Icy Veins,0,0,0,0,0
1505,6.0 Professions - Leatherworking - Daily Cooldown,8,0,0,0,0
1506,6.0 Professions - Leatherworking - 3 Charges 24 hr Cooldown,0,0,3,86400000,0
1507,6.0 Professions - Blacksmithing - Daily Cooldown,8,0,0,0,0
1508,6.0 Professions - Blacksmithing - 3 Charges 24 hr Cooldown,0,0,3,86400000,0
1509,Class - Priest - Purify,0,0,1,8000,1
1510,Class - Druid - Nature's Cure,0,0,1,8000,1
1511,Class - Monk - Detox,0,0,1,8000,1
1512,Class - Paladin - Cleanse,0,0,1,8000,1
1513,Class - Shaman - Purify Spirit,0,0,1,8000,1
1516,Toy Use Charges,0,0,30,0,0
1517,Monk - Renewing Mist,0,0,2,9000,1
1518,Class - Monk - Rising Sun Kick,0,0,1,10000,1
1519,6.0 Professions - Alchemy - Research,8,0,0,0,0
1520,6.0 Professions - Blacksmithing - Research,8,0,0,0,0
1521,6.0 Professions - Tailoring - Research,8,0,0,0,0
1522,6.0 Professions - Leatherworking - Research,8,0,0,0,0
1523,6.0 Professions - Jewelcrafting - Research,8,0,0,0,0
1524,Garrison Hearthstone,0,0,0,0,0
1526,Explosive Slag Mines,0,0,5,0,0
1527,6.0 Professions - Engineering - 3 Charges (24h),0,0,3,86400000,0
1528,6.0 Professions - Engineering - Secrets,8,0,0,0,0
1529,6.0 Professions - Inscription - Material,8,0,0,0,0
1530,6.0 Professions - Inscription - Secrets,8,0,0,0,0
1531,6.0 Professions - Inscription - 3 Charges (24h),0,0,3,86400000,0
1532,6.0 Professions - Enchanting - Material,8,0,0,0,0
1533,6.0 Professions - Enchanting - Secrets,8,0,0,0,0
1534,6.0 Professions - Enchanting - 3 Charges (24h),0,0,3,86400000,0
1535,Garrisons - Inscription Perk,8,0,0,0,0
1536,Class - Shaman - Lava Burst,0,0,1,8000,1
1537,Class - Shaman - Earthquake,0,0,1,10000,1
1538,Class - Shaman - Lava Lash,0,0,1,9000,1
1539,Class - Shaman - Unleash Life,0,0,1,15000,1
1540,Class - Shaman - Spirit Link Totem,48,0,1,180000,1
1541,Demon Hunter - Fiery Brand,0,0,1,60000,1
1542,Crusader Strike,0,0,2,3000,4
1543,Class - Paladin - Shield of the Righteous,0,0,3,18000,1
1544,Inspiring Shot,0,0,0,0,0
1545,Demon Hunter - Fel Rush,0,0,1,10000,9
1547,Legendary Rings,0,0,0,0,0
1548,Demon Hunter - Evade,0,0,2,12000,0
1550,Class - Paladin - Avenging Wrath,48,0,1,180000,1
1551,Shaman - Tempest Totem,0,0,3,10000,0
1552,Demon Hunter - Fracture,0,0,2,4500,1
1553,Demon Hunter - Infernal Strike,0,0,1,20000,9
1554,7.0 Quest - Black Rook Hold - Glaive Thrower,0,0,5,600000,0
1555,Raise Ally,0,0,0,0,0
1556,6.2 Tanaan - Seeking Crystal,0,0,0,0,0
1557,Class - Hunter - Mongoose Bite,0,0,3,12000,1
1558,Death Strike,0,0,2,8000,0
1559,7.0 Inscription - Vantus Rune,0,1,0,0,0
1560,Class - Mage - Ice Block,48,0,1,300000,1
1561,Monk - Brewmaster - Blackout Kick,0,0,1,4000,1
1562,Class - Monk - Brewmaster Brews,0,0,2,20000,1
1563,失傳知識卷軸,0,1,0,0,0
1564,Ancient Mana,0,0,0,0,0
1565,Zen Pilgrimage,0,0,0,0,0
1566,Solar Flare,16,0,2,12000,0
1568,Class - Druid - Frenzied Regeneration,0,0,1,36000,1
1569,Class - Shaman - Healing Stream Totem,0,0,0,30000,1
1570,Class - Paladin - Hammer of the Righteous,0,0,2,6000,1
1571,Class - Monk - Mistwalk,0,0,1,45000,1
1572,Fire/Storm Elemental,48,0,1,150000,1
1574,Inter-Dalaran Wormhole,0,0,5,60000,0
1575,Class - Hunter - Throwing Axes,0,0,2,20000,1
1576,Class - Druid - Swiftmend,0,0,1,15000,1
1577,Demon Hunter - Metamorphosis (Havoc),32,0,0,0,1
1578,Class - Hunter - Traps,0,0,0,0,1
1579,7.0 Quest - Suramar Collapse - Naga Cannon - twh,0,0,1,600000,0
1580,Class - Monk - Flying Serpent Kick,0,0,1,25000,9
1581,Class - Druid - Brutal Slash,0,0,3,8000,1
1582,Demon Hunter - Eye Beam,0,0,0,0,0
1583,Class - Paladin - Crusader Flurry,0,0,3,4000,1
1584,Scythe of Elune,0,0,3,15000,0
1585,Infernal Will,0,0,2,20000,0
1586,Demon Hunter - Demon Spikes,0,0,2,20000,1
1587,Class - Paladin - Hand of Reckoning,48,0,1,8000,1
1588,Class - Mage - Frost Nova,0,0,1,30000,1
1589,Class - Warlock - Shadowflame,0,0,2,14000,1
1590,Class - Priest - Shadow Word: Void,48,0,2,9000,1
1592,"Class - Monk - Storm, Earth, and Fire",48,0,2,90000,1
1593,Class - Mage - Rune of Power,0,0,1,45000,1
1595,7.0 Suramar - Powder Keg Throw - twh,0,0,0,0,0
1598,Class - Warrior - Furious Slash,0,0,3,6000,1
1599,Class - Hunter - Black Arrow,0,0,3,18000,1
1600,Class - Shaman - Earth Shock,0,0,1,6000,1
1601,Demon Hunter - Vengeful Retreat,0,0,1,25000,9
1602,Class - Priest - Mind Blast,0,0,1,9000,1
1603,Doug Test - Cooldown Category,0,0,1,0,0
1604,Artifacts - Light of the Naaru,0,0,2,45000,0
1605,Demon Hunter - Sigil of Flame,0,0,1,30000,1
1606,Demon Hunter - Sigil of Chains,0,0,1,60000,1
1607,Demon Hunter - Sigil of Misery,0,0,1,120000,1
1608,Demon Hunter - Sigil of Silence,0,0,1,90000,1
1609,Demon Hunter - Shear,0,0,2,3000,1
1610,Class - Paladin - Zeal,0,0,2,6000,1
1611,Class - Death Knight - Blood Boil,0,0,2,7500,1
1612,Demon Hunter - Throw Glaive,0,0,1,9000,1
1613,Rogue - Create Crimson Vial,0,0,3,60000,0
1614,Class - Death Knight - Empower Rune Weapon,16,0,0,120000,1
1615,Class - Rogue - Shadow Dance,48,0,1,60000,1
1616,Class - Hunter - Butchery,0,0,3,9000,1
1618,Class - Warrior - Defensive Stance,0,0,0,0,1
1619,Demon Hunter - Fel Barrage,0,0,5,30000,0
