ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
103,黑穫僕從,黑穫僕從,黑穫僕從,3483,0,2,3
104,惡魔守衛,惡魔守衛,惡魔守衛,3483,0,1,3
105,天尊,天尊,天尊,3480,0,1,3
108,血魄死亡騎士,血魄死亡騎士,血魄死亡騎士,5936,6,0,0
109,冰霜死亡騎士,冰霜死亡騎士,冰霜死亡騎士,5937,7,0,0
110,穢邪死亡騎士,穢邪死亡騎士,穢邪死亡騎士,5938,8,0,0
111,平衡德魯伊,平衡德魯伊,平衡德魯伊,5941,0,0,0
112,野性戰鬥德魯伊,野性戰鬥德魯伊,野性戰鬥德魯伊,5942,0,0,0
113,守護者德魯伊,守護者德魯伊,守護者德魯伊,5943,0,0,0
114,恢復德魯伊,恢復德魯伊,恢復德魯伊,5944,0,0,0
115,野獸控制獵人,野獸控制獵人,野獸控制獵人,5945,0,0,0
116,射擊獵人,射擊獵人,射擊獵人,5946,0,0,0
117,生存獵人,生存獵人,生存獵人,5947,0,0,0
118,秘法法師,秘法法師,秘法法師,5948,0,0,0
119,火焰法師,火焰法師,火焰法師,5949,0,0,0
120,冰霜法師,冰霜法師,冰霜法師,5950,0,0,0
121,神聖聖騎士,神聖聖騎士,神聖聖騎士,5954,0,0,0
122,防護聖騎士,防護聖騎士,防護聖騎士,5955,0,0,0
123,懲戒聖騎士,懲戒聖騎士,懲戒聖騎士,5956,0,0,0
124,戒律牧師,戒律牧師,戒律牧師,5957,0,0,0
125,神聖牧師,神聖牧師,神聖牧師,5958,0,0,0
126,暗影牧師,暗影牧師,暗影牧師,5959,0,0,0
127,刺殺盜賊,刺殺盜賊,刺殺盜賊,5960,0,0,0
128,暴徒盜賊,暴徒盜賊,暴徒盜賊,5961,0,0,0
129,敏銳盜賊,敏銳盜賊,敏銳盜賊,5962,0,0,0
130,元素薩滿,元素薩滿,元素薩滿,5963,0,0,0
131,增強薩滿,增強薩滿,增強薩滿,5964,0,0,0
132,恢復薩滿,恢復薩滿,恢復薩滿,5965,0,0,0
133,痛苦術士,痛苦術士,痛苦術士,5966,0,0,0
134,惡魔學識術士,惡魔學識術士,惡魔學識術士,5967,0,0,0
135,毀滅術士,毀滅術士,毀滅術士,5968,0,0,0
136,武器戰士,武器戰士,武器戰士,5969,0,0,0
137,狂怒戰士,狂怒戰士,狂怒戰士,5970,0,0,0
138,防護戰士,防護戰士,防護戰士,5971,0,0,0
139,卓越者,卓越者,卓越者,3484,0,1,3
140,流亡者,流亡者,流亡者,6163,0,0,0
141,卡拉贊塔管家,卡拉贊塔管家,卡拉贊塔管家,6219,0,0,0
142,晚宴賓客,晚宴賓客,晚宴賓客,6219,0,1,1
143,打鬥者,打鬥者,鬥士,6219,0,0,0
144,考斯卡蠻卒,考斯卡蠻卒,考斯卡蠻卒,5940,0,1,3
145,恐怖圖騰戰士,恐怖圖騰戰士,恐怖圖騰戰士,3484,0,1,3
146,avagner - test,,,6159,0,0,1
147,祈倫托守護者,元素生物,祈倫托守護者,3482,0,2,3
148,黯刃騎士霜劫者,元素生物,黯刃騎士霜劫者,3487,0,2,3
149,突擊隊,元素生物,突擊隊,3478,0,2,3
150,幻夢之林看守者,元素生物,幻夢之林看守者,3485,0,2,3
151,希瓦拉,元素生物,希瓦拉,5940,0,2,3
152,陶土議會保衛者,元素生物,陶土議會保衛者,3484,0,2,3
153,冰心大師,元素生物,冰心大師,3480,0,2,3
154,惡魔守衛蠻卒,元素生物,惡魔守衛蠻卒,3483,0,2,3
155,神秘的牧師,元素生物,神秘的牧師,3479,0,2,3
156,白銀之手十字軍,元素生物,白銀之手十字軍,3486,0,2,3
157,拉文霍德刺客,元素生物,拉文霍德刺客,3481,0,2,3
158,夜裔獵人,,,3477,0,2,1
160,克庫山脊行者,,,6817,0,2,3
161,淨化虛無的克庫,,,6816,0,2,3
162,光鑄奮擊者,,,6818,0,2,3
164,技師,,技師,3581,0,0,0
165,步槍兵,,步槍兵,5946,278,1,3
166,特務,,特務,3481,0,0,0
167,斥候,,斥候,3481,0,0,0
168,哨兵,,,5947,277,1,3
169,特務,,特務,5962,279,1,3
170,滲透者,,滲透者,3481,280,0,0
171,技師,,,3581,282,1,3
172,戰鬥專家,,,5947,281,0,0
173,和平捍衛者,,和平捍衛者,5956,283,1,3
174,潛獵者,,潛獵者,5960,0,1,3
175,元素薩滿,元素薩滿,,5963,0,0,1
176,專家,,,5960,290,1,1
177,薩滿,,,5963,291,1,3
178,恐怖衛士,,,3487,0,0,1
179,巫女,,,5949,0,1,3
180,爆破兵,,爆破兵,3581,0,1,3
181,武僧,,,5953,0,1,3
182,秘法師,,,5948,0,0,0
183,工程師,,工程師,8390,0,0,0
184,敏銳盜賊,敏銳盜賊,敏銳盜賊,5962,0,0,0
185,生存獵人,生存獵人,生存獵人,5947,0,0,0
186,暗影獵手,,暗影獵手,5946,0,0,0
187,鷹巢山大族長,,,5964,0,0,0
188,孤狼,,,5947,281,0,0
189,博學者,,博學者,5959,0,0,0
190,特勤隊技師,,特勤隊技師,8390,0,0,0
191,飛行員,,,3581,0,0,3
192,哨兵部隊將軍,,,5946,0,0,0
193,聯盟部隊,,,7709,0,4,7
194,部落部隊,,,7710,0,4,7
295,船長,,,7709,0,0,0
296,船長,,,7710,0,0,0
297,霧刃,,,6557,0,0,0
298,指揮官,,,6557,0,0,0
299,瘋狂公爵,,,6557,0,0,0
300,漂泊之拳,,,6036,0,0,0
301,啜魂者,,,6557,0,0,0
302,掘墓者,,,6557,0,0,0
303,暗拳武僧,,,6557,0,0,0
304,罪孽石投擲者,,,6557,0,0,0
305,虛假治癒者,,,6557,0,0,0
306,喪魂,,,6557,0,0,0
307,閃耀之矛,,,6557,0,0,0
308,堅定之拳,,,6557,0,0,0
309,豐茂的治療者,,,6557,0,0,0
310,夜刃,,,6557,0,3,1
311,魂術師,,,6557,0,3,1
312,方陣機兵,,,6557,0,3,1
313,長戟兵,,,6557,0,3,1
314,突擊兵,,,6557,0,3,1
315,詠疫者,,,6557,0,3,1
316,護林者,,,6557,0,3,1
317,陷捕者,,,6557,0,3,1
318,愉快刺客,,,6557,0,0,0
319,接待員,,,6557,0,0,0
320,鏡子製造師,,,6557,0,0,0
321,大管家,,,6557,0,0,0
322,修理工,,,6557,0,0,0
323,鬥士,,,2117,0,0,0
325,護林者,,,6557,0,3,9
326,陷捕者,,,6557,0,3,9
327,夜刃,,,6557,0,3,9
328,魂術師,,,6557,0,3,9
329,方陣機兵,,,6557,0,3,9
330,長戟兵,,,6557,0,3,9
331,突擊兵,,,6557,0,3,9
332,詠疫者,,,6557,0,3,9
333,武鬥士,,,6558,0,1,0
334,憎惡體,,,6558,0,1,0
335,奔放者,,,6558,0,1,0
336,知識大師,,,6558,0,1,0
337,軟泥,,,6558,0,1,0
338,骷髏,,,6558,0,1,0
339,憎惡體,,,6558,0,1,0
340,巫妖,,,6558,0,1,0
341,鬥士,,,6558,0,1,0
342,組裝員,,,6558,0,1,0
343,骷髏,,,6558,0,1,0
344,影刃,,,6558,0,1,0
345,瘟疫設計者,,,6558,0,1,0
346,骸骨工匠,,,6558,0,1,0
347,屠殺之女,,,6558,0,1,0
348,虔誠的劍,,,6557,0,0,0
349,幫手,,,6557,0,0,0
350,盡責的傀儡,,,6557,0,0,0
351,拉里翁訓練師,,,6557,0,0,0
352,芬連克斯管理員,,,6557,0,0,0
353,勤奮的助手,,,6557,0,0,0
354,志士,,,6557,0,0,0
355,侍徒,,,6557,0,0,0
356,米卡尼寇斯的夥伴,,,6557,0,0,0
357,勇氣之手,,,6557,0,0,0
358,閃耀者,,,6557,0,0,0
359,欺詐者,,,6557,0,0,0
360,溫柔的管理員,,,6557,0,0,0
361,寒冰長矛,,,6557,0,0,0
362,星光塑造者,,,6557,0,0,0
363,隱密者族人,,,6557,0,0,0
364,特那瓦勒保衛者,,,6557,0,0,0
365,特那瓦勒工匠,,,6557,0,0,0
366,靈魂之牙,,,6557,0,0,0
367,黑夜之角,,,6557,0,0,0
368,森林之眼,,,6557,0,0,0
369,破曉枝葉,,,6557,0,0,0
370,管理員,,,6557,0,0,0
371,狩獵隊長,,,6557,0,0,0
372,林地看管者,,,6557,0,0,0
373,晉升者,,,6557,0,0,0
374,志士,,,6557,0,0,0
375,首席熔爐士,,,6557,0,0,0
376,野蠻人,,,2117,0,0,0
377,玻璃裝修大師,,,6557,0,0,0
378,巫妖,,,6558,0,1,0
379,鐵匠,,,6558,0,1,0
380,恩澤夥伴,,,6558,0,1,0
381,刺激鬥士,,,6558,0,1,0
382,不滅,,,6558,0,1,0
383,武器鍛造師,,,6557,0,0,0
384,軍需官,,,6557,0,0,0
385,特使,,,6557,0,0,0
386,孢子,,,6557,0,0,0
387,德拉維沃爾,,,6557,0,0,0
388,信使,,,6557,0,0,0
389,靈諭師,,,6557,0,0,0
390,魂靈嚮導,,,6557,0,0,0
391,保衛者,,,6557,0,0,0
392,癒合之翼,,,6557,0,0,0
393,農夫,,,6557,0,0,0
394,藝術家,,,6557,0,0,0
395,望族,,,6557,0,0,0
396,療治傷勢,,,6557,0,0,0
397,按摩師,,,6557,0,0,0
398,淡定自若的僕從,,,6557,0,0,0
400,考古學家,生存獵人,,5946,0,0,0
